image_path,location,image_id,plotNumber,device,range,row,experiment,block,percentUnhealthy,segmentation_method,excluded,poundsOfNitrogenPerAcre,population,genotype,score_A,score_B,comment_A,comment_B
data/fvsu2025/images/250563_LeafPhotoA_2025-10-03 10_14_22.385-05_00.jpg,GA,250563_LeafPhotoA_2025-10-03 10_14_22.385,250563,NA,38,10,NA,NA,3.62,CV2,FALSE,NA,SAP,PI533761,NA,NA,NA,NA
data/fvsu2025/images/250563_LeafPhotoA_2025-10-03 10_14_38.939-05_00.jpg,GA,250563_LeafPhotoA_2025-10-03 10_14_38.939,250563,NA,38,10,NA,NA,4.12,CV2,FALSE,NA,SAP,PI533761,NA,NA,NA,NA
data/fvsu2025/images/250564_LeafPhotoA_2025-10-03 10_15_21.003-05_00.jpg,GA,250564_LeafPhotoA_2025-10-03 10_15_21.003,250564,NA,38,11,NA,NA,0.05,CV2,FALSE,NA,SAP,PI642793,NA,NA,NA,NA
data/fvsu2025/images/250564_LeafPhotoA_2025-10-03 10_15_41.341-05_00.jpg,GA,250564_LeafPhotoA_2025-10-03 10_15_41.341,250564,NA,38,11,NA,NA,0,CV2,FALSE,NA,SAP,PI642793,NA,NA,NA,NA
data/fvsu2025/images/250564_LeafPhotoA_2025-10-03 10_15_56.168-05_00.jpg,GA,250564_LeafPhotoA_2025-10-03 10_15_56.168,250564,NA,38,11,NA,NA,0.59,CV2,FALSE,NA,SAP,PI642793,NA,NA,NA,NA
data/fvsu2025/images/250565_LeafPhotoA_2025-10-03 10_16_33.817-05_00.jpg,GA,250565_LeafPhotoA_2025-10-03 10_16_33.817,250565,NA,38,12,NA,NA,0.37,CV2,FALSE,NA,SAP,PI533877,1.5,2.5,NA,NA
data/fvsu2025/images/250565_LeafPhotoA_2025-10-03 10_17_02.299-05_00.jpg,GA,250565_LeafPhotoA_2025-10-03 10_17_02.299,250565,NA,38,12,NA,NA,0.06,CV2,FALSE,NA,SAP,PI533877,NA,NA,NA,NA
data/fvsu2025/images/250565_LeafPhotoA_2025-10-03 10_17_40.870-05_00.jpg,GA,250565_LeafPhotoA_2025-10-03 10_17_40.870,250565,NA,38,12,NA,NA,22.22,CV2,FALSE,NA,SAP,PI533877,NA,NA,NA,NA
data/fvsu2025/images/250567_LeafPhotoA_2025-10-03 10_18_41.980-05_00.jpg,GA,250567_LeafPhotoA_2025-10-03 10_18_41.980,250567,NA,38,14,NA,NA,3.23,CV2,FALSE,NA,SAP,PI576394,NA,NA,NA,NA
data/fvsu2025/images/250567_LeafPhotoA_2025-10-03 10_19_00.506-05_00.jpg,GA,250567_LeafPhotoA_2025-10-03 10_19_00.506,250567,NA,38,14,NA,NA,16.67,CV2,FALSE,NA,SAP,PI576394,NA,NA,NA,NA
data/fvsu2025/images/250567_LeafPhotoA_2025-10-03 10_19_18.692-05_00.jpg,GA,250567_LeafPhotoA_2025-10-03 10_19_18.692,250567,NA,38,14,NA,NA,1.42,CV2,FALSE,NA,SAP,PI576394,NA,NA,NA,NA
data/fvsu2025/images/250568_LeafPhotoA_2025-10-03 10_19_39.256-05_00.jpg,GA,250568_LeafPhotoA_2025-10-03 10_19_39.256,250568,NA,38,15,NA,NA,1.67,CV2,FALSE,NA,SAP,PI656053,NA,NA,NA,NA
data/fvsu2025/images/250568_LeafPhotoA_2025-10-03 10_20_00.530-05_00.jpg,GA,250568_LeafPhotoA_2025-10-03 10_20_00.530,250568,NA,38,15,NA,NA,0.06,CV2,FALSE,NA,SAP,PI656053,1.5,2,NA,NA
data/fvsu2025/images/250568_LeafPhotoA_2025-10-03 10_20_12.934-05_00.jpg,GA,250568_LeafPhotoA_2025-10-03 10_20_12.934,250568,NA,38,15,NA,NA,2.49,CV2,FALSE,NA,SAP,PI656053,NA,NA,NA,NA
data/fvsu2025/images/250569_LeafPhotoA_2025-10-03 10_20_48.396-05_00.jpg,GA,250569_LeafPhotoA_2025-10-03 10_20_48.396,250569,NA,38,16,NA,NA,2.44,CV2,FALSE,NA,SAP,PI533965,NA,NA,NA,NA
data/fvsu2025/images/250569_LeafPhotoA_2025-10-03 10_21_03.211-05_00.jpg,GA,250569_LeafPhotoA_2025-10-03 10_21_03.211,250569,NA,38,16,NA,NA,0.24,CV2,FALSE,NA,SAP,PI533965,NA,NA,NA,NA
data/fvsu2025/images/250569_LeafPhotoA_2025-10-03 10_21_26.341-05_00.jpg,GA,250569_LeafPhotoA_2025-10-03 10_21_26.341,250569,NA,38,16,NA,NA,4.24,CV2,FALSE,NA,SAP,PI533965,NA,NA,NA,NA
data/fvsu2025/images/250570_LeafPhotoA_2025-10-03 10_21_50.214-05_00.jpg,GA,250570_LeafPhotoA_2025-10-03 10_21_50.214,250570,NA,38,17,NA,NA,4.49,CV2,FALSE,NA,SAP,PI533964,NA,NA,NA,NA
data/fvsu2025/images/250570_LeafPhotoA_2025-10-03 10_22_06.426-05_00.jpg,GA,250570_LeafPhotoA_2025-10-03 10_22_06.426,250570,NA,38,17,NA,NA,1.16,CV2,FALSE,NA,SAP,PI533964,NA,NA,NA,NA
data/fvsu2025/images/250570_LeafPhotoA_2025-10-03 10_22_19.152-05_00.jpg,GA,250570_LeafPhotoA_2025-10-03 10_22_19.152,250570,NA,38,17,NA,NA,2.02,CV2,FALSE,NA,SAP,PI533964,NA,NA,NA,NA
data/fvsu2025/images/250571_LeafPhotoA_2025-10-03 10_23_02.577-05_00.jpg,GA,250571_LeafPhotoA_2025-10-03 10_23_02.577,250571,NA,38,18,NA,NA,0.07,CV2,FALSE,NA,SAP,PI656072,NA,NA,NA,NA
data/fvsu2025/images/250571_LeafPhotoA_2025-10-03 10_23_31.822-05_00.jpg,GA,250571_LeafPhotoA_2025-10-03 10_23_31.822,250571,NA,38,18,NA,NA,2.86,CV2,FALSE,NA,SAP,PI656072,NA,NA,NA,NA
data/fvsu2025/images/250571_LeafPhotoA_2025-10-03 10_23_42.750-05_00.jpg,GA,250571_LeafPhotoA_2025-10-03 10_23_42.750,250571,NA,38,18,NA,NA,2.37,CV2,FALSE,NA,SAP,PI656072,2,2,NA,NA
data/fvsu2025/images/250572_LeafPhotoA_2025-10-03 10_40_25.471-05_00.jpg,GA,250572_LeafPhotoA_2025-10-03 10_40_25.471,250572,NA,39,3,NA,NA,0.97,CV2,FALSE,NA,SAP,PI656004,NA,NA,NA,NA
data/fvsu2025/images/250572_LeafPhotoA_2025-10-03 10_40_45.542-05_00.jpg,GA,250572_LeafPhotoA_2025-10-03 10_40_45.542,250572,NA,39,3,NA,NA,1,CV2,FALSE,NA,SAP,PI656004,NA,NA,NA,NA
data/fvsu2025/images/250572_LeafPhotoA_2025-10-03 10_40_57.553-05_00.jpg,GA,250572_LeafPhotoA_2025-10-03 10_40_57.553,250572,NA,39,3,NA,NA,1.49,CV2,FALSE,NA,SAP,PI656004,NA,NA,NA,NA
data/fvsu2025/images/250573_LeafPhotoA_2025-10-03 10_39_36.824-05_00.jpg,GA,250573_LeafPhotoA_2025-10-03 10_39_36.824,250573,NA,39,4,NA,NA,4.09,CV2,FALSE,NA,SAP,PI597960,NA,NA,NA,NA
data/fvsu2025/images/250573_LeafPhotoA_2025-10-03 10_39_49.522-05_00.jpg,GA,250573_LeafPhotoA_2025-10-03 10_39_49.522,250573,NA,39,4,NA,NA,14.53,CV2,FALSE,NA,SAP,PI597960,NA,NA,NA,NA
data/fvsu2025/images/250573_LeafPhotoA_2025-10-03 10_40_01.875-05_00.jpg,GA,250573_LeafPhotoA_2025-10-03 10_40_01.875,250573,NA,39,4,NA,NA,2.85,CV2,FALSE,NA,SAP,PI597960,NA,NA,NA,NA
data/fvsu2025/images/250574_LeafPhotoA_2025-10-03 10_38_41.667-05_00.jpg,GA,250574_LeafPhotoA_2025-10-03 10_38_41.667,250574,NA,39,5,NA,NA,0.55,CV2,FALSE,NA,SAP,PI656008,NA,NA,NA,NA
data/fvsu2025/images/250574_LeafPhotoA_2025-10-03 10_38_51.864-05_00.jpg,GA,250574_LeafPhotoA_2025-10-03 10_38_51.864,250574,NA,39,5,NA,NA,0.27,CV2,FALSE,NA,SAP,PI656008,NA,NA,NA,NA
data/fvsu2025/images/250574_LeafPhotoA_2025-10-03 10_39_12.587-05_00.jpg,GA,250574_LeafPhotoA_2025-10-03 10_39_12.587,250574,NA,39,5,NA,NA,0.42,CV2,FALSE,NA,SAP,PI656008,NA,NA,NA,NA
data/fvsu2025/images/250575_LeafPhotoA_2025-10-03 10_37_40.227-05_00.jpg,GA,250575_LeafPhotoA_2025-10-03 10_37_40.227,250575,NA,39,6,NA,NA,0.55,CV2,FALSE,NA,SAP,PI533856,NA,NA,NA,NA
data/fvsu2025/images/250575_LeafPhotoA_2025-10-03 10_37_59.105-05_00.jpg,GA,250575_LeafPhotoA_2025-10-03 10_37_59.105,250575,NA,39,6,NA,NA,2.74,CV2,FALSE,NA,SAP,PI533856,3,2.5,NA,NA
data/fvsu2025/images/250575_LeafPhotoA_2025-10-03 10_38_17.724-05_00.jpg,GA,250575_LeafPhotoA_2025-10-03 10_38_17.724,250575,NA,39,6,NA,NA,0.27,CV2,FALSE,NA,SAP,PI533856,NA,NA,NA,NA
data/fvsu2025/images/250576_LeafPhotoA_2025-10-03 10_36_06.847-05_00.jpg,GA,250576_LeafPhotoA_2025-10-03 10_36_06.847,250576,NA,39,7,NA,NA,11.76,CV2,FALSE,NA,SAP,PI576373,NA,NA,NA,NA
data/fvsu2025/images/250576_LeafPhotoA_2025-10-03 10_36_22.507-05_00.jpg,GA,250576_LeafPhotoA_2025-10-03 10_36_22.507,250576,NA,39,7,NA,NA,5.81,CV2,FALSE,NA,SAP,PI576373,NA,NA,NA,NA
data/fvsu2025/images/250576_LeafPhotoA_2025-10-03 10_36_40.861-05_00.jpg,GA,250576_LeafPhotoA_2025-10-03 10_36_40.861,250576,NA,39,7,NA,NA,0.45,CV2,FALSE,NA,SAP,PI576373,NA,NA,NA,NA
data/fvsu2025/images/250577_LeafPhotoA_2025-10-03 10_35_08.687-05_00.jpg,GA,250577_LeafPhotoA_2025-10-03 10_35_08.687,250577,NA,39,8,NA,NA,6,CV2,FALSE,NA,SAP,PI533750,NA,NA,NA,NA
data/fvsu2025/images/250577_LeafPhotoA_2025-10-03 10_35_27.513-05_00.jpg,GA,250577_LeafPhotoA_2025-10-03 10_35_27.513,250577,NA,39,8,NA,NA,22.12,CV2,FALSE,NA,SAP,PI533750,NA,NA,NA,NA
data/fvsu2025/images/250577_LeafPhotoA_2025-10-03 10_35_41.937-05_00.jpg,GA,250577_LeafPhotoA_2025-10-03 10_35_41.937,250577,NA,39,8,NA,NA,5.44,CV2,FALSE,NA,SAP,PI533750,NA,NA,NA,NA
data/fvsu2025/images/250578_LeafPhotoA_2025-10-03 10_33_49.436-05_00.jpg,GA,250578_LeafPhotoA_2025-10-03 10_33_49.436,250578,NA,39,9,NA,NA,0.03,CV2,FALSE,NA,SAP,PI656085,NA,NA,NA,NA
