S.No,plotNumber,genotype,rep,population,range,row
243,250480,PI 533863,Rep 2,SAP,33,7
395,250481,PI 564164,Rep 2,SAP,33,8
671,250482,PI 656065,Rep 2,SAP,33,9
670,250483,PI 656064,Rep 2,SAP,33,10
281,250484,PI 533972,Rep 2,SAP,33,11
653,250485,PI 656041,Rep 2,SAP,33,12
622,250486,PI 656002,Rep 2,SAP,33,13
284,250487,PI 533980,Rep 2,SAP,33,14
667,250488,PI 656059,Rep 2,SAP,33,15
293,250489,PI 534021,Rep 2,SAP,33,16
613,250490,PI 655992,Rep 2,SAP,33,17
637,250491,PI 656019,Rep 2,SAP,33,18
348,250492,PI 552856,Rep 2,SAP,34,3
300,250493,PI 534075,Rep 2,SAP,34,4
674,250494,PI 656070,Rep 2,SAP,34,5
544,250495,PI 597973,Rep 2,SAP,34,6
525,250496,PI 595745,Rep 2,SAP,34,7
703,250497,PI 656109,Rep 2,SAP,34,8
322,250498,PI 534133,Rep 2,SAP,34,9
310,250499,PI 534108,Rep 2,SAP,34,10
578,250500,PI 642998,Rep 2,SAP,34,11
680,250501,PI 656078,Rep 2,SAP,34,12
646,250502,PI 656033,Rep 2,SAP,34,13
303,250503,PI 534096,Rep 2,SAP,34,14
639,250504,PI 656022,Rep 2,SAP,34,15
264,250505,PI 533936,Rep 2,SAP,34,16
675,250506,PI 656071,Rep 2,SAP,34,17
601,250507,PI 655978,Rep 2,SAP,34,18
575,250508,PI 642791,Rep 2,SAP,35,3
212,250509,PI 533752,Rep 2,SAP,35,4
462,250510,PI 576333,Rep 2,SAP,35,5
232,250511,PI 533824,Rep 2,SAP,35,6
641,250512,PI 656024,Rep 2,SAP,35,7
700,250513,PI 656106,Rep 2,SAP,35,8
259,250514,PI 533915,Rep 2,SAP,35,9
643,250515,PI 656029,Rep 2,SAP,35,10
480,250516,PI 576387,Rep 2,SAP,35,11
677,250517,PI 656074,Rep 2,SAP,35,12
709,250518,PI 656117,Rep 2,SAP,35,13
496,250519,PI 576437,Rep 2,SAP,35,14
267,250520,PI 533940,Rep 2,SAP,35,15
298,250521,PI 534054,Rep 2,SAP,35,16
529,250522,PI 597950,Rep 2,SAP,35,17
495,250523,PI 576435,Rep 2,SAP,35,18
654,250524,PI 656042,Rep 2,SAP,36,3
306,250525,PI 534101,Rep 2,SAP,36,4
661,250526,PI 656050,Rep 2,SAP,36,5
234,250527,PI 533838,Rep 2,SAP,36,6
473,250528,PI 576366,Rep 2,SAP,36,7
683,250529,PI 656082,Rep 2,SAP,36,8
619,250530,PI 655999,Rep 2,SAP,36,9
292,250531,PI 534009,Rep 2,SAP,36,10
318,250532,PI 534124,Rep 2,SAP,36,11
592,250533,PI 655970,Rep 2,SAP,36,12
521,250534,PI 595740,Rep 2,SAP,36,13
698,250535,PI 656104,Rep 2,SAP,36,14
323,250536,PI 534135,Rep 2,SAP,36,15
666,250537,PI 656058,Rep 2,SAP,36,16
686,250538,PI 656089,Rep 2,SAP,36,17
489,250539,PI 576422,Rep 2,SAP,36,18
329,250540,PI 534148,Rep 2,SAP,37,3
630,250541,PI 656011,Rep 2,SAP,37,4
691,250542,PI 656096,Rep 2,SAP,37,5
606,250543,PI 655984,Rep 2,SAP,37,6
463,250544,PI 576337,Rep 2,SAP,37,7
695,250545,PI 656100,Rep 2,SAP,37,8
554,250546,PI 629034,Rep 2,SAP,37,9
672,250547,PI 656067,Rep 2,SAP,37,10
523,250548,PI 595743,Rep 2,SAP,37,11
693,250549,PI 656098,Rep 2,SAP,37,12
662,250550,PI 656052,Rep 2,SAP,37,13
229,250551,PI 533810,Rep 2,SAP,37,14
238,250552,PI 533843,Rep 2,SAP,37,15
231,250553,PI 533822,Rep 2,SAP,37,16
704,250554,PI 656110,Rep 2,SAP,37,17
645,250555,PI 656032,Rep 2,SAP,37,18
