image_path,ExG_P20_disease_pct
250088_LeafPhotoA_2025-10-01 09_28_31.621-05_00_leaf.png,5.69
250089_LeafPhotoA_2025-10-01 09_26_43.431-05_00_leaf.png,3.18
250089_LeafPhotoA_2025-10-01 09_26_57.829-05_00_leaf.png,11.83
250089_LeafPhotoA_2025-10-01 09_27_08.107-05_00_leaf.png,1.88
250090_LeafPhotoA_2025-10-01 09_24_53.767-05_00_leaf.png,0.11
250090_LeafPhotoA_2025-10-01 09_25_11.576-05_00_leaf.png,0
250090_LeafPhotoA_2025-10-01 09_25_23.905-05_00_leaf.png,5.03
250091_LeafPhotoA_2025-10-01 09_23_25.431-05_00_leaf.png,42.72
250091_LeafPhotoA_2025-10-01 09_23_37.206-05_00_leaf.png,37.37
250091_LeafPhotoA_2025-10-01 09_23_51.988-05_00_leaf.png,25.72
250092_LeafPhotoA_2025-10-01 09_21_53.866-05_00_leaf.png,22.59
250092_LeafPhotoA_2025-10-01 09_22_06.170-05_00_leaf.png,2.24
250092_LeafPhotoA_2025-10-01 09_22_17.023-05_00_leaf.png,9.13
250093_LeafPhotoA_2025-10-01 09_20_38.818-05_00_leaf.png,11.36
250093_LeafPhotoA_2025-10-01 09_20_49.163-05_00_leaf.png,7.67
250093_LeafPhotoA_2025-10-01 09_21_01.104-05_00_leaf.png,8.7
250094_LeafPhotoA_2025-10-01 09_19_02.544-05_00_leaf.png,16.89
250094_LeafPhotoA_2025-10-01 09_19_19.316-05_00_leaf.png,8.37
250094_LeafPhotoA_2025-10-01 09_19_34.196-05_00_leaf.png,6.36
250095_LeafPhotoA_2025-10-01 09_17_42.974-05_00_leaf.png,0.04
250095_LeafPhotoA_2025-10-01 09_18_06.905-05_00_leaf.png,6.39
250095_LeafPhotoA_2025-10-01 09_18_19.254-05_00_leaf.png,0.04
250096_LeafPhotoA_2025-10-01 09_16_24.123-05_00_leaf.png,40.66
250096_LeafPhotoA_2025-10-01 09_16_44.550-05_00_leaf.png,46.63
250096_LeafPhotoA_2025-10-01 09_16_59.361-05_00_leaf.png,17.26
250097_LeafPhotoA_2025-10-01 09_48_21.625-05_00_leaf.png,3.8
250097_LeafPhotoA_2025-10-01 09_48_37.064-05_00_leaf.png,9.19
250097_LeafPhotoA_2025-10-01 09_48_58.473-05_00_leaf.png,5.73
250098_LeafPhotoA_2025-10-01 09_50_19.877-05_00_leaf.png,0.45
250098_LeafPhotoA_2025-10-01 09_50_29.717-05_00_leaf.png,0.13
250098_LeafPhotoA_2025-10-01 09_50_40.216-05_00_leaf.png,0.84
250099_LeafPhotoA_2025-10-01 09_51_29.634-05_00_leaf.png,87.04
250099_LeafPhotoA_2025-10-01 09_51_47.828-05_00_leaf.png,95.14
250099_LeafPhotoA_2025-10-01 09_52_04.626-05_00_leaf.png,79.55
250100_LeafPhotoA_2025-10-01 09_52_52.911-05_00_leaf.png,9.69
250100_LeafPhotoA_2025-10-01 09_53_03.101-05_00_leaf.png,1.94
250100_LeafPhotoA_2025-10-01 09_53_13.436-05_00_leaf.png,18.95
250101_LeafPhotoA_2025-10-01 09_53_51.703-05_00_leaf.png,0.23
250101_LeafPhotoA_2025-10-01 09_54_02.427-05_00_leaf.png,0.82
250101_LeafPhotoA_2025-10-01 09_54_13.824-05_00_leaf.png,0.01
250102_LeafPhotoA_2025-10-01 09_54_52.524-05_00_leaf.png,12.51
250102_LeafPhotoA_2025-10-01 09_55_10.203-05_00_leaf.png,12.53
250102_LeafPhotoA_2025-10-01 09_55_21.973-05_00_leaf.png,22.39
250103_LeafPhotoA_2025-10-01 09_56_23.016-05_00_leaf.png,12.2
250103_LeafPhotoA_2025-10-01 09_56_31.628-05_00_leaf.png,7.75
250104_LeafPhotoA_2025-10-01 09_57_08.630-05_00_leaf.png,0.16
250104_LeafPhotoA_2025-10-01 09_57_21.313-05_00_leaf.png,1.93
250104_LeafPhotoA_2025-10-01 09_57_35.904-05_00_leaf.png,0.05
250106_LeafPhotoA_2025-10-01 09_59_07.363-05_00_leaf.png,0.37
250106_LeafPhotoA_2025-10-01 09_59_20.699-05_00_leaf.png,0.13
250106_LeafPhotoA_2025-10-01 09_59_31.225-05_00_leaf.png,1.51
250107_LeafPhotoA_2025-10-01 10_00_17.372-05_00_leaf.png,16.67
250107_LeafPhotoA_2025-10-01 10_00_27.880-05_00_leaf.png,7.9
250107_LeafPhotoA_2025-10-01 10_00_40.095-05_00_leaf.png,1.01
250108_LeafPhotoA_2025-10-01 10_01_16.515-05_00_leaf.png,2.08
250108_LeafPhotoA_2025-10-01 10_01_28.247-05_00_leaf.png,9.05
250108_LeafPhotoA_2025-10-01 10_01_38.846-05_00_leaf.png,1.66
250109_LeafPhotoA_2025-10-01 10_02_21.482-05_00_leaf.png,16.29
250109_LeafPhotoA_2025-10-01 10_02_34.767-05_00_leaf.png,19.66
250110_LeafPhotoA_2025-10-01 10_03_19.483-05_00_leaf.png,30.14
250110_LeafPhotoA_2025-10-01 10_03_31.505-05_00_leaf.png,0.96
250110_LeafPhotoA_2025-10-01 10_03_43.322-05_00_leaf.png,4.47
250111_LeafPhotoA_2025-10-01 10_04_41.379-05_00_leaf.png,18.31
250112_LeafPhotoA_2025-10-01 10_05_23.010-05_00_leaf.png,0.69
250112_LeafPhotoA_2025-10-01 10_05_32.331-05_00_leaf.png,4.37
250113_LeafPhotoA_2025-10-01 10_32_38.305-05_00_leaf.png,9.6
