image_path,pctd,plotNumber
1038_LeafPhotoA_2025-09-08 10_15_32.315-05_00_leaf.png,0.48,1038
1038_LeafPhotoA_2025-09-08 10_15_50.926-05_00_leaf.png,0.46,1038
1038_LeafPhotoA_2025-09-08 10_16_04.977-05_00_leaf.png,0.17,1038
1039_LeafPhotoA_2025-09-08 10_16_33.293-05_00_leaf.png,1.87,1039
1039_LeafPhotoA_2025-09-08 10_17_00.651-05_00_leaf.png,0.15,1039
1039_LeafPhotoA_2025-09-08 10_17_11.743-05_00_leaf.png,0.02,1039
1040_LeafPhotoA_2025-09-08 10_17_57.190-05_00_leaf.png,0.01,1040
1040_LeafPhotoA_2025-09-08 10_18_12.445-05_00_leaf.png,0.04,1040
1040_LeafPhotoA_2025-09-08 10_18_43.741-05_00_leaf.png,0.04,1040
1041_LeafPhotoA_2025-09-08 10_19_07.539-05_00_leaf.png,0.63,1041
1041_LeafPhotoA_2025-09-08 10_19_21.222-05_00_leaf.png,0.17,1041
1041_LeafPhotoA_2025-09-08 10_19_35.997-05_00_leaf.png,0.15,1041
1042_LeafPhotoA_2025-09-08 10_20_35.599-05_00_leaf.png,0.01,1042
1042_LeafPhotoA_2025-09-08 10_20_51.175-05_00_leaf.png,0,1042
1042_LeafPhotoA_2025-09-08 10_21_06.936-05_00_leaf.png,0,1042
1043_LeafPhotoA_2025-09-08 10_21_32.723-05_00_leaf.png,0.49,1043
1043_LeafPhotoA_2025-09-08 10_21_46.526-05_00_leaf.png,0.58,1043
1043_LeafPhotoA_2025-09-08 10_21_59.227-05_00_leaf.png,10.91,1043
1044_LeafPhotoA_2025-09-08 10_22_48.871-05_00_leaf.png,3.78,1044
1044_LeafPhotoA_2025-09-08 10_23_04.014-05_00_leaf.png,3.48,1044
1044_LeafPhotoA_2025-09-08 10_23_47.531-05_00_leaf.png,1.53,1044
1045_LeafPhotoA_2025-09-08 10_24_13.087-05_00_leaf.png,0.04,1045
1045_LeafPhotoA_2025-09-08 10_24_25.395-05_00_leaf.png,0,1045
1045_LeafPhotoA_2025-09-08 10_24_39.722-05_00_leaf.png,0,1045
1047_LeafPhotoA_2025-09-08 10_26_20.486-05_00_leaf.png,0.24,1047
1047_LeafPhotoA_2025-09-08 10_26_48.305-05_00_leaf.png,0.27,1047
1047_LeafPhotoA_2025-09-08 10_27_02.535-05_00_leaf.png,0.06,1047
1048_LeafPhotoA_2025-09-08 10_27_26.311-05_00_leaf.png,0.1,1048
1048_LeafPhotoA_2025-09-08 10_27_42.531-05_00_leaf.png,0.02,1048
1048_LeafPhotoA_2025-09-08 10_27_55.320-05_00_leaf.png,0.03,1048
1049_LeafPhotoA_2025-09-08 10_28_20.044-05_00_leaf.png,0.01,1049
1049_LeafPhotoA_2025-09-08 10_28_40.680-05_00_leaf.png,0.01,1049
1049_LeafPhotoA_2025-09-08 10_28_53.505-05_00_leaf.png,0,1049
1050_LeafPhotoA_2025-09-08 10_29_26.585-05_00_leaf.png,0.13,1050
1050_LeafPhotoA_2025-09-08 10_29_43.243-05_00_leaf.png,0.07,1050
1050_LeafPhotoA_2025-09-08 10_29_56.473-05_00_leaf.png,0.53,1050
1051_LeafPhotoA_2025-09-08 12_41_41.689-05_00_leaf.png,4.96,1051
1051_LeafPhotoA_2025-09-08 12_41_54.794-05_00_leaf.png,1.72,1051
1051_LeafPhotoA_2025-09-08 12_42_13.116-05_00_leaf.png,1,1051
1052_LeafPhotoA_2025-09-08 12_42_45.391-05_00_leaf.png,1.12,1052
1052_LeafPhotoA_2025-09-08 12_42_57.295-05_00_leaf.png,2.48,1052
1052_LeafPhotoA_2025-09-08 12_43_10.542-05_00_leaf.png,0.28,1052
1053_LeafPhotoA_2025-09-08 12_43_28.443-05_00_leaf.png,2.45,1053
1053_LeafPhotoA_2025-09-08 12_43_49.634-05_00_leaf.png,3.25,1053
1053_LeafPhotoA_2025-09-08 12_44_09.725-05_00_leaf.png,4.49,1053
1054_LeafPhotoA_2025-09-08 12_44_38.059-05_00_leaf.png,0.62,1054
1054_LeafPhotoA_2025-09-08 12_44_49.928-05_00_leaf.png,0.07,1054
1054_LeafPhotoA_2025-09-08 12_45_31.324-05_00_leaf.png,0.45,1054
1055_LeafPhotoA_2025-09-08 12_45_58.943-05_00_leaf.png,2.88,1055
1055_LeafPhotoA_2025-09-08 12_46_11.865-05_00_leaf.png,0.7,1055
1055_LeafPhotoA_2025-09-08 12_46_26.025-05_00_leaf.png,0.5,1055
1056_LeafPhotoA_2025-09-08 12_46_55.383-05_00_leaf.png,3.07,1056
1056_LeafPhotoA_2025-09-08 12_47_08.950-05_00_leaf.png,0.76,1056
1056_LeafPhotoA_2025-09-08 12_47_21.347-05_00_leaf.png,0.63,1056
1056_LeafPhotoA_2025-09-08 12_47_34.787-05_00_leaf.png,0.44,1056
1057_LeafPhotoA_2025-09-08 12_48_09.886-05_00_leaf.png,22.38,1057
1057_LeafPhotoA_2025-09-08 12_48_37.892-05_00_leaf.png,29.15,1057
1057_LeafPhotoA_2025-09-08 12_49_00.094-05_00_leaf.png,8.52,1057
1058_LeafPhotoA_2025-09-08 12_49_24.947-05_00_leaf.png,0.02,1058
