"S.No","Plot No","Accession","Replication","Population","height","color","lodging","flowering","insect damage","picture_test","Picture_fieldbook_default","plants","type","rust score","audio","location","gnss","GoPro","angle","Picture_android","notes","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"680","250120","PI 656078","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"640","250121","PI 656023","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"517","250122","PI 595714","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"312","250123","PI 534114","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"95","250124","PI 276837","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"299","250125","PI 534070","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"221","250126","PI 533776","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"342","250127","PI 542406","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"231","250128","PI 533822","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"690","250129","PI 656095","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"330","250130","PI 534157","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"608","250131","PI 655986","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"686","250132","PI 656089","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"688","250133","PI 656092","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"659","250134","PI 656048","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"547","250135","PI 597982","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"311","250136","PI 534112","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"708","250137","PI 656115","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"637","250138","PI 656019","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"641","250139","PI 656024","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"596","250140","PI 655973","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"294","250141","PI 534028","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"549","250142","PI 601816","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"633","250143","PI 656014","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"528","250144","PI 597949","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"592","250145","PI 655970","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"271","250146","PI 533954","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"328","250147","PI 534145","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"254","250148","PI 533903","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"524","250149","PI 595744","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"707","250150","PI 656114","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"586","250151","PI 651492","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"606","250152","PI 655984","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
