"S.No","Plot No","Accession","Replication","Population","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"339","250830","PI535796","Rep 1","BAP",,,,,,,,
"145","250831","PI329618","Rep 1","BAP",,,,,,,,
"65","250832","PI176766","Rep 1","BAP",,,,,,,,
"45","250833","PI155760","Rep 1","BAP",,,,,,,,
"78","250834","PI218112","Rep 1","BAP",,,,,,,,
"122","250835","PI329478","Rep 1","BAP",,,,,,,,
"43","250836","PI155149","Rep 1","BAP",,,,,,,,
"434","250837","PI570039","Rep 1","BAP",,,,,,,,
"15","250838","PI145633","Rep 1","BAP",,,,,,,,
"74","250839","PI196586","Rep 1","BAP",,,,,,,,
"334","250840","PI535783","Rep 1","BAP",,,,,,,,
"172","250841","PI330807","Rep 1","BAP",,,,,,,,
"155","250842","PI329711","Rep 1","BAP",,,,,,,,
"373","250843","PI562990","Rep 1","BAP",,,,,,,,
"456","250844","PI570388","Rep 1","BAP",,,,,,,,
"587","250845","PI651493","Rep 1","BAP",,,,,,,,
"167","250846","PI330195","Rep 1","BAP",,,,,,,,
"454","250847","PI570371","Rep 1","BAP",,,,,,,,
"127","250848","PI329511","Rep 1","BAP",,,,,,,,
"569","250849","PI641850","Rep 1","BAP",,,,,,,,
"171","250850","PI330803","Rep 1","BAP",,,,,,,,
"425","250851","PI569457","Rep 1","BAP",,,,,,,,
"37","250852","PI154750","Rep 1","BAP",,,,,,,,
"63","250853","PI170787","Rep 1","BAP",,,,,,,,
"3","250854","PI22913","Rep 1","BAP",,,,,,,,
"14","250855","PI145632","Rep 1","BAP",,,,,,,,
"552","250856","PI619807","Rep 1","BAP",,,,,,,,
"371","250857","PI562982","Rep 1","BAP",,,,,,,,
"178","250858","PI452542","Rep 1","BAP",,,,,,,,
"205","250859","PI521281","Rep 1","BAP",,,,,,,,
"24","250860","PI152751","Rep 1","BAP",,,,,,,,
"27","250861","PI152860","Rep 1","BAP",,,,,,,,
"427","250862","PI569459","Rep 1","BAP",,,,,,,,
"28","250863","PI152862","Rep 1","BAP",,,,,,,,
"343","250864","PI542718","Rep 1","BAP",,,,,,,,
"52","250865","PI156330","Rep 1","BAP",,,,,,,,
"562","250866","PI641824","Rep 1","BAP",,,,,,,,
"103","250867","PI303658","Rep 1","BAP",,,,,,,,
"188","250868","PI455301","Rep 1","BAP",,,,,,,,
"457","250869","PI570393","Rep 1","BAP",,,,,,,,
"61","250870","PI157804","Rep 1","BAP",,,,,,,,
"209","250871","PI526905","Rep 1","BAP",,,,,,,,
"381","250872","PI563021","Rep 1","BAP",,,,,,,,
"500","250873","PI585406","Rep 1","BAP",,,,,,,,
"62","250874","PI167093","Rep 1","BAP",,,,,,,,
"564","250875","PI641830","Rep 1","BAP",,,,,,,,
"563","250876","PI641829","Rep 1","BAP",,,,,,,,
"25","250877","PI152816","Rep 1","BAP",,,,,,,,
"414","250878","PI569433","Rep 1","BAP",,,,,,,,
"81","250879","PI226096","Rep 1","BAP",,,,,,,,
"514","250880","PI593916","Rep 1","BAP",,,,,,,,
"408","250881","PI569420","Rep 1","BAP",,,,,,,,
"112","250882","PI329326","Rep 1","BAP",,,,,,,,
"168","250883","PI330196","Rep 1","BAP",,,,,,,,
"35","250884","PI152971","Rep 1","BAP",,,,,,,,
"89","250885","PI257599","Rep 1","BAP",,,,,,,,
"162","250886","PI330169","Rep 1","BAP",,,,,,,,
"389","250887","PI563332","Rep 1","BAP",,,,,,,,
"365","250888","PI562781","Rep 1","BAP",,,,,,,,
"148","250889","PI329645","Rep 1","BAP",,,,,,,,
"179","250890","PI452544","Rep 1","BAP",,,,,,,,
"9","250891","PI63715","Rep 1","BAP",,,,,,,,
"512","250892","PI586499","Rep 1","BAP",,,,,,,,
"502","250893","PI585452","Rep 1","BAP",,,,,,,,
"448","250894","PI570106","Rep 1","BAP",,,,,,,,
"38","250895","PI154844","Rep 1","BAP",,,,,,,,
"130","250896","PI329519","Rep 1","BAP",,,,,,,,
"39","250897","PI154846","Rep 1","BAP",,,,,,,,
"416","250898","PI569443","Rep 1","BAP",,,,,,,,
"131","250899","PI329541","Rep 1","BAP",,,,,,,,
"183","250900","PI453177","Rep 1","BAP",,,,,,,,
"83","250901","PI250583","Rep 1","BAP",,,,,,,,
"87","250902","PI255239","Rep 1","BAP",,,,,,,,
"151","250903","PI329673","Rep 1","BAP",,,,,,,,
"411","250904","PI569423","Rep 1","BAP",,,,,,,,
"102","250905","PI302252","Rep 1","BAP",,,,,,,,
"176","250906","PI337689","Rep 1","BAP",,,,,,,,
"400","250907","PI569090","Rep 1","BAP",,,,,,,,
"431","250908","PI569886","Rep 1","BAP",,,,,,,,
"69","250909","PI181083","Rep 1","BAP",,,,,,,,
"129","250910","PI329518","Rep 1","BAP",,,,,,,,
"195","250911","PI506114","Rep 1","BAP",,,,,,,,
"405","250912","PI569416","Rep 1","BAP",,,,,,,,
"370","250913","PI562981","Rep 1","BAP",,,,,,,,
"143","250914","PI329615","Rep 1","BAP",,,,,,,,
"507","250915","PI585608","Rep 1","BAP",,,,,,,,
"364","250916","PI562732","Rep 1","BAP",,,,,,,,
"34","250917","PI152967","Rep 1","BAP",,,,,,,,
"347","250918","PI552851","Rep 1","BAP",,,,,,,,
"376","250919","PI562998","Rep 1","BAP",,,,,,,,
"146","250920","PI329632","Rep 1","BAP",,,,,,,,
"128","250921","PI329517","Rep 1","BAP",,,,,,,,
"68","250922","PI181080","Rep 1","BAP",,,,,,,,
"67","250923","PI180348","Rep 1","BAP",,,,,,,,
"561","250924","PI641821","Rep 1","BAP",,,,,,,,
"429","250925","PI569462","Rep 1","BAP",,,,,,,,
"382","250926","PI563022","Rep 1","BAP",,,,,,,,
"93","250927","PI273465","Rep 1","BAP",,,,,,,,
"573","250928","PI641892","Rep 1","BAP",,,,,,,,
"104","250929","PI329256","Rep 1","BAP",,,,,,,,
"72","250930","PI196049","Rep 1","BAP",,,,,,,,
"406","250931","PI569418","Rep 1","BAP",,,,,,,,
"392","250932","PI563350","Rep 1","BAP",,,,,,,,
"96","250933","PI291246","Rep 1","BAP",,,,,,,,
"403","250934","PI569244","Rep 1","BAP",,,,,,,,
"487","250935","PI576401","Rep 1","BAP",,,,,,,,
"23","250936","PI152733","Rep 1","BAP",,,,,,,,
"56","250937","PI156871","Rep 1","BAP",,,,,,,,
"391","250938","PI563348","Rep 1","BAP",,,,,,,,
"160","250939","PI330167","Rep 1","BAP",,,,,,,,
"372","250940","PI562985","Rep 1","BAP",,,,,,,,
"186","250941","PI455221","Rep 1","BAP",,,,,,,,
"190","250942","PI505717","Rep 1","BAP",,,,,,,,
"198","250943","PI511355","Rep 1","BAP",,,,,,,,
"10","250944","PI92270","Rep 1","BAP",,,,,,,,
"570","250945","PI641860","Rep 1","BAP",,,,,,,,
"85","250946","PI253986","Rep 1","BAP",,,,,,,,
"121","250947","PI329471","Rep 1","BAP",,,,,,,,
"193","250948","PI506030","Rep 1","BAP",,,,,,,,
"141","250949","PI329605","Rep 1","BAP",,,,,,,,
"120","250950","PI329466","Rep 1","BAP",,,,,,,,
"393","250951","PI563355","Rep 1","BAP",,,,,,,,
"338","250952","PI535795","Rep 1","BAP",,,,,,,,
"362","250953","PI562730","Rep 1","BAP",,,,,,,,
"2","250954","PI19770","Rep 1","BAP",,,,,,,,
"82","250955","PI229841","Rep 1","BAP",,,,,,,,
"439","250956","PI570073","Rep 1","BAP",,,,,,,,
"440","250957","PI570074","Rep 1","BAP",,,,,,,,
"458","250958","PI570400","Rep 1","BAP",,,,,,,,
"399","250959","PI568717","Rep 1","BAP",,,,,,,,
"384","250960","PI563196","Rep 1","BAP",,,,,,,,
"336","250961","PI535793","Rep 1","BAP",,,,,,,,
"340","250962","PI540518","Rep 1","BAP",,,,,,,,
"158","250963","PI329864","Rep 1","BAP",,,,,,,,
"60","250964","PI157035","Rep 1","BAP",,,,,,,,
"567","250965","PI641836","Rep 1","BAP",,,,,,,,
"136","250966","PI329554","Rep 1","BAP",,,,,,,,
"444","250967","PI570087","Rep 1","BAP",,,,,,,,
"197","250968","PI510757","Rep 1","BAP",,,,,,,,
"412","250969","PI569425","Rep 1","BAP",,,,,,,,
"70","250970","PI181899","Rep 1","BAP",,,,,,,,
"422","250971","PI569453","Rep 1","BAP",,,,,,,,
"441","250972","PI570075","Rep 1","BAP",,,,,,,,
"208","250973","PI525049","Rep 1","BAP",,,,,,,,
"117","250974","PI329435","Rep 1","BAP",,,,,,,,
"58","250975","PI157030","Rep 1","BAP",,,,,,,,
"442","250976","PI570076","Rep 1","BAP",,,,,,,,
"508","250977","PI585961","Rep 1","BAP",,,,,,,,
"47","250978","PI156018","Rep 1","BAP",,,,,,,,
"79","250979","PI221548","Rep 1","BAP",,,,,,,,
"13","250980","PI145626","Rep 1","BAP",,,,,,,,
"48","250981","PI156203","Rep 1","BAP",,,,,,,,
"192","250982","PI505735","Rep 1","BAP",,,,,,,,
"419","250983","PI569446","Rep 1","BAP",,,,,,,,
"84","250984","PI251672","Rep 1","BAP",,,,,,,,
"113","250985","PI329333","Rep 1","BAP",,,,,,,,
"335","250986","PI535785","Rep 1","BAP",,,,,,,,
"76","250987","PI197542","Rep 1","BAP",,,,,,,,
"182","250988","PI453106","Rep 1","BAP",,,,,,,,
"584","250989","PI646266","Rep 1","BAP",,,,,,,,
"153","250990","PI329702","Rep 1","BAP",,,,,,,,
"579","250991","PI643016","Rep 1","BAP",,,,,,,,
"588","250992","PI651495","Rep 1","BAP",,,,,,,,
"410","250993","PI569422","Rep 1","BAP",,,,,,,,
"144","250994","PI329617","Rep 1","BAP",,,,,,,,
"435","250995","PI570042","Rep 1","BAP",,,,,,,,
"337","250996","PI535794","Rep 1","BAP",,,,,,,,
"449","250997","PI570109","Rep 1","BAP",,,,,,,,
"413","250998","PI569427","Rep 1","BAP",,,,,,,,
"446","250999","PI570091","Rep 1","BAP",,,,,,,,
"123","251000","PI329480","Rep 1","BAP",,,,,,,,
"92","251001","PI267573","Rep 1","BAP",,,,,,,,
"453","251002","PI570254","Rep 1","BAP",,,,,,,,
"509","251003","PI585966","Rep 1","BAP",,,,,,,,
"33","251004","PI152966","Rep 1","BAP",,,,,,,,
"46","251005","PI155885","Rep 1","BAP",,,,,,,,
"98","251006","PI297155","Rep 1","BAP",,,,,,,,
"57","251007","PI156890","Rep 1","BAP",,,,,,,,
"386","251008","PI563329","Rep 1","BAP",,,,,,,,
"447","251009","PI570096","Rep 1","BAP",,,,,,,,
"71","251010","PI195754","Rep 1","BAP",,,,,,,,
"107","251011","PI329300","Rep 1","BAP",,,,,,,,
"59","251012","PI157033","Rep 1","BAP",,,,,,,,
"157","251013","PI329843","Rep 1","BAP",,,,,,,,
"559","251014","PI641815","Rep 1","BAP",,,,,,,,
"115","251015","PI329351","Rep 1","BAP",,,,,,,,
"11","251016","PI144134","Rep 1","BAP",,,,,,,,
"165","251017","PI330185","Rep 1","BAP",,,,,,,,
"451","251018","PI570114","Rep 1","BAP",,,,,,,,
"73","251019","PI196583","Rep 1","BAP",,,,,,,,
"378","251020","PI563006","Rep 1","BAP",,,,,,,,
"438","251021","PI570071","Rep 1","BAP",,,,,,,,
"426","251022","PI569458","Rep 1","BAP",,,,,,,,
"387","251023","PI563330","Rep 1","BAP",,,,,,,,
"409","251024","PI569421","Rep 1","BAP",,,,,,,,
"504","251025","PI585461","Rep 1","BAP",,,,,,,,
"513","251026","PI586541","Rep 1","BAP",,,,,,,,
"506","251027","PI585577","Rep 1","BAP",,,,,,,,
"375","251028","PI562994","Rep 1","BAP",,,,,,,,
"374","251029","PI562991","Rep 1","BAP",,,,,,,,
"147","251030","PI329644","Rep 1","BAP",,,,,,,,
"44","251031","PI155516","Rep 1","BAP",,,,,,,,
"18","251032","PI152651","Rep 1","BAP",,,,,,,,
"401","251033","PI569097","Rep 1","BAP",,,,,,,,
"134","251034","PI329550","Rep 1","BAP",,,,,,,,
"159","251035","PI329865","Rep 1","BAP",,,,,,,,
"417","251036","PI569444","Rep 1","BAP",,,,,,,,
"203","251037","PI521019","Rep 1","BAP",,,,,,,,
"445","251038","PI570090","Rep 1","BAP",,,,,,,,
"380","251039","PI563020","Rep 1","BAP",,,,,,,,
"204","251040","PI521152","Rep 2","BAP",,,,,,,,
"408","251041","PI569420","Rep 2","BAP",,,,,,,,
"401","251042","PI569097","Rep 2","BAP",,,,,,,,
"35","251043","PI152971","Rep 2","BAP",,,,,,,,
"366","251044","PI562897","Rep 2","BAP",,,,,,,,
"430","251045","PI569465","Rep 2","BAP",,,,,,,,
"157","251046","PI329843","Rep 2","BAP",,,,,,,,
"339","251047","PI535796","Rep 2","BAP",,,,,,,,
"436","251048","PI570047","Rep 2","BAP",,,,,,,,
"133","251049","PI329546","Rep 2","BAP",,,,,,,,
"13","251050","PI145626","Rep 2","BAP",,,,,,,,
"10","251051","PI92270","Rep 2","BAP",,,,,,,,
"181","251052","PI452692","Rep 2","BAP",,,,,,,,
"49","251053","PI156217","Rep 2","BAP",,,,,,,,
"210","251054","PI527045","Rep 2","BAP",,,,,,,,
"39","251055","PI154846","Rep 2","BAP",,,,,,,,
"190","251056","PI505717","Rep 2","BAP",,,,,,,,
"446","251057","PI570091","Rep 2","BAP",,,,,,,,
"138","251058","PI329570","Rep 2","BAP",,,,,,,,
"53","251059","PI156393","Rep 2","BAP",,,,,,,,
"164","251060","PI330184","Rep 2","BAP",,,,,,,,
"179","251061","PI452544","Rep 2","BAP",,,,,,,,
"400","251062","PI569090","Rep 2","BAP",,,,,,,,
"100","251063","PI300117","Rep 2","BAP",,,,,,,,
"557","251064","PI641807","Rep 2","BAP",,,,,,,,
"453","251065","PI570254","Rep 2","BAP",,,,,,,,
"36","251066","PI153877","Rep 2","BAP",,,,,,,,
"120","251067","PI329466","Rep 2","BAP",,,,,,,,
"362","251068","PI562730","Rep 2","BAP",,,,,,,,
"588","251069","PI651495","Rep 2","BAP",,,,,,,,
"423","251070","PI569454","Rep 2","BAP",,,,,,,,
"422","251071","PI569453","Rep 2","BAP",,,,,,,,
"23","251072","PI152733","Rep 2","BAP",,,,,,,,
"46","251073","PI155885","Rep 2","BAP",,,,,,,,
"123","251074","PI329480","Rep 2","BAP",,,,,,,,
"566","251075","PI641835","Rep 2","BAP",,,,,,,,
"161","251076","PI330168","Rep 2","BAP",,,,,,,,
"382","251077","PI563022","Rep 2","BAP",,,,,,,,
"37","251078","PI154750","Rep 2","BAP",,,,,,,,
"60","251079","PI157035","Rep 2","BAP",,,,,,,,
"513","251080","PI586541","Rep 2","BAP",,,,,,,,
"559","251081","PI641815","Rep 2","BAP",,,,,,,,
"507","251082","PI585608","Rep 2","BAP",,,,,,,,
"564","251083","PI641830","Rep 2","BAP",,,,,,,,
"125","251084","PI329506","Rep 2","BAP",,,,,,,,
"140","251085","PI329584","Rep 2","BAP",,,,,,,,
"399","251086","PI568717","Rep 2","BAP",,,,,,,,
"417","251087","PI569444","Rep 2","BAP",,,,,,,,
"132","251088","PI329545","Rep 2","BAP",,,,,,,,
"580","251089","PI646242","Rep 2","BAP",,,,,,,,
"337","251090","PI535794","Rep 2","BAP",,,,,,,,
"510","251091","PI586435","Rep 2","BAP",,,,,,,,
"14","251092","PI145632","Rep 2","BAP",,,,,,,,
"343","251093","PI542718","Rep 2","BAP",,,,,,,,
"435","251094","PI570042","Rep 2","BAP",,,,,,,,
"560","251095","PI641817","Rep 2","BAP",,,,,,,,
"443","251096","PI570085","Rep 2","BAP",,,,,,,,
"171","251097","PI330803","Rep 2","BAP",,,,,,,,
"110","251098","PI329310","Rep 2","BAP",,,,,,,,
"509","251099","PI585966","Rep 2","BAP",,,,,,,,
"180","251100","PI452619","Rep 2","BAP",,,,,,,,
"172","251101","PI330807","Rep 2","BAP",,,,,,,,
"574","251102","PI641909","Rep 2","BAP",,,,,,,,
"150","251103","PI329665","Rep 2","BAP",,,,,,,,
"512","251104","PI586499","Rep 2","BAP",,,,,,,,
"12","251105","PI145619","Rep 2","BAP",,,,,,,,
"356","251106","PI561840","Rep 2","BAP",,,,,,,,
"30","251107","PI152961","Rep 2","BAP",,,,,,,,
"571","251108","PI641862","Rep 2","BAP",,,,,,,,
"573","251109","PI641892","Rep 2","BAP",,,,,,,,
"376","251110","PI562998","Rep 2","BAP",,,,,,,,
"90","251111","PI257600","Rep 2","BAP",,,,,,,,
"381","251112","PI563021","Rep 2","BAP",,,,,,,,
"487","251113","PI576401","Rep 2","BAP",,,,,,,,
"159","251114","PI329865","Rep 2","BAP",,,,,,,,
"136","251115","PI329554","Rep 2","BAP",,,,,,,,
"459","251116","PI570431","Rep 2","BAP",,,,,,,,
"175","251117","PI337680","Rep 2","BAP",,,,,,,,
"98","251118","PI297155","Rep 2","BAP",,,,,,,,
"109","251119","PI329301","Rep 2","BAP",,,,,,,,
"111","251120","PI329319","Rep 2","BAP",,,,,,,,
"504","251121","PI585461","Rep 2","BAP",,,,,,,,
"173","251122","PI330833","Rep 2","BAP",,,,,,,,
"188","251123","PI455301","Rep 2","BAP",,,,,,,,
"581","251124","PI646251","Rep 2","BAP",,,,,,,,
"155","251125","PI329711","Rep 2","BAP",,,,,,,,
"193","251126","PI506030","Rep 2","BAP",,,,,,,,
"129","251127","PI329518","Rep 2","BAP",,,,,,,,
"419","251128","PI569446","Rep 2","BAP",,,,,,,,
"128","251129","PI329517","Rep 2","BAP",,,,,,,,
"96","251130","PI291246","Rep 2","BAP",,,,,,,,
"174","251131","PI330858","Rep 2","BAP",,,,,,,,
"434","251132","PI570039","Rep 2","BAP",,,,,,,,
"55","251133","PI156487","Rep 2","BAP",,,,,,,,
"420","251134","PI569447","Rep 2","BAP",,,,,,,,
"122","251135","PI329478","Rep 2","BAP",,,,,,,,
"64","251136","PI175919","Rep 2","BAP",,,,,,,,
"445","251137","PI570090","Rep 2","BAP",,,,,,,,
"158","251138","PI329864","Rep 2","BAP",,,,,,,,
"124","251139","PI329501","Rep 2","BAP",,,,,,,,
"104","251140","PI329256","Rep 2","BAP",,,,,,,,
"552","251141","PI619807","Rep 2","BAP",,,,,,,,
"91","251142","PI266927","Rep 2","BAP",,,,,,,,
"58","251143","PI157030","Rep 2","BAP",,,,,,,,
"84","251144","PI251672","Rep 2","BAP",,,,,,,,
"135","251145","PI329551","Rep 2","BAP",,,,,,,,
"27","251146","PI152860","Rep 2","BAP",,,,,,,,
"191","251147","PI505722","Rep 2","BAP",,,,,,,,
"403","251148","PI569244","Rep 2","BAP",,,,,,,,
"590","251149","PI651497","Rep 2","BAP",,,,,,,,
"406","251150","PI569418","Rep 2","BAP",,,,,,,,
"511","251151","PI586443","Rep 2","BAP",,,,,,,,
"89","251152","PI257599","Rep 2","BAP",,,,,,,,
"97","251153","PI297130","Rep 2","BAP",,,,,,,,
"404","251154","PI569264","Rep 2","BAP",,,,,,,,
"432","251155","PI570031","Rep 2","BAP",,,,,,,,
"457","251156","PI570393","Rep 2","BAP",,,,,,,,
"497","251157","PI583832","Rep 2","BAP",,,,,,,,
"378","251158","PI563006","Rep 2","BAP",,,,,,,,
"168","251159","PI330196","Rep 2","BAP",,,,,,,,
"65","251160","PI176766","Rep 2","BAP",,,,,,,,
"113","251161","PI329333","Rep 2","BAP",,,,,,,,
"141","251162","PI329605","Rep 2","BAP",,,,,,,,
"388","251163","PI563331","Rep 2","BAP",,,,,,,,
"137","251164","PI329569","Rep 2","BAP",,,,,,,,
"428","251165","PI569460","Rep 2","BAP",,,,,,,,
"131","251166","PI329541","Rep 2","BAP",,,,,,,,
"372","251167","PI562985","Rep 2","BAP",,,,,,,,
"106","251168","PI329299","Rep 2","BAP",,,,,,,,
"418","251169","PI569445","Rep 2","BAP",,,,,,,,
"585","251170","PI651491","Rep 2","BAP",,,,,,,,
"26","251171","PI152828","Rep 2","BAP",,,,,,,,
"178","251172","PI452542","Rep 2","BAP",,,,,,,,
"458","251173","PI570400","Rep 2","BAP",,,,,,,,
"433","251174","PI570038","Rep 2","BAP",,,,,,,,
"139","251175","PI329583","Rep 2","BAP",,,,,,,,
"148","251176","PI329645","Rep 2","BAP",,,,,,,,
"11","251177","PI144134","Rep 2","BAP",,,,,,,,
"34","251178","PI152967","Rep 2","BAP",,,,,,,,
"368","251179","PI562970","Rep 2","BAP",,,,,,,,
"43","251180","PI155149","Rep 2","BAP",,,,,,,,
"500","251181","PI585406","Rep 2","BAP",,,,,,,,
"208","251182","PI525049","Rep 2","BAP",,,,,,,,
"42","251183","PI154988","Rep 2","BAP",,,,,,,,
"390","251184","PI563338","Rep 2","BAP",,,,,,,,
"415","251185","PI569435","Rep 2","BAP",,,,,,,,
"80","251186","PI221651","Rep 2","BAP",,,,,,,,
"411","251187","PI569423","Rep 2","BAP",,,,,,,,
"41","251188","PI154987","Rep 2","BAP",,,,,,,,
"444","251189","PI570087","Rep 2","BAP",,,,,,,,
"152","251190","PI329699","Rep 2","BAP",,,,,,,,
"99","251191","PI297171","Rep 2","BAP",,,,,,,,
"347","251192","PI552851","Rep 2","BAP",,,,,,,,
"340","251193","PI540518","Rep 2","BAP",,,,,,,,
"424","251194","PI569455","Rep 2","BAP",,,,,,,,
"115","251195","PI329351","Rep 2","BAP",,,,,,,,
"162","251196","PI330169","Rep 2","BAP",,,,,,,,
"101","251197","PI300118","Rep 2","BAP",,,,,,,,
"59","251198","PI157033","Rep 2","BAP",,,,,,,,
"83","251199","PI250583","Rep 2","BAP",,,,,,,,
"71","251200","PI195754","Rep 2","BAP",,,,,,,,
"389","251201","PI563332","Rep 2","BAP",,,,,,,,
"194","251202","PI506069","Rep 2","BAP",,,,,,,,
"579","251203","PI643016","Rep 2","BAP",,,,,,,,
"380","251204","PI563020","Rep 2","BAP",,,,,,,,
"206","251205","PI521290","Rep 2","BAP",,,,,,,,
"167","251206","PI330195","Rep 2","BAP",,,,,,,,
"442","251207","PI570076","Rep 2","BAP",,,,,,,,
"410","251208","PI569422","Rep 2","BAP",,,,,,,,
"147","251209","PI329644","Rep 2","BAP",,,,,,,,
"383","251210","PI563032","Rep 2","BAP",,,,,,,,
"385","251211","PI563295","Rep 2","BAP",,,,,,,,
"88","251212","PI255744","Rep 2","BAP",,,,,,,,
"75","251213","PI196598","Rep 2","BAP",,,,,,,,
"8","251214","PI52606","Rep 2","BAP",,,,,,,,
"185","251215","PI455217","Rep 2","BAP",,,,,,,,
"503","251216","PI585454","Rep 2","BAP",,,,,,,,
"364","251217","PI562732","Rep 2","BAP",,,,,,,,
"441","251218","PI570075","Rep 2","BAP",,,,,,,,
"371","251219","PI562982","Rep 2","BAP",,,,,,,,
"413","251220","PI569427","Rep 2","BAP",,,,,,,,
"336","251221","PI535793","Rep 2","BAP",,,,,,,,
"414","251222","PI569433","Rep 2","BAP",,,,,,,,
"9","251223","PI63715","Rep 2","BAP",,,,,,,,
"416","251224","PI569443","Rep 2","BAP",,,,,,,,
"514","251225","PI593916","Rep 2","BAP",,,,,,,,
"195","251226","PI506114","Rep 2","BAP",,,,,,,,
"20","251227","PI152727","Rep 2","BAP",,,,,,,,
"437","251228","PI570053","Rep 2","BAP",,,,,,,,
"33","251229","PI152966","Rep 2","BAP",,,,,,,,
"454","251230","PI570371","Rep 2","BAP",,,,,,,,
"176","251231","PI337689","Rep 2","BAP",,,,,,,,
"407","251232","PI569419","Rep 2","BAP",,,,,,,,
"505","251233","PI585467","Rep 2","BAP",,,,,,,,
"196","251234","PI506122","Rep 2","BAP",,,,,,,,
"156","251235","PI329841","Rep 2","BAP",,,,,,,,
"379","251236","PI563009","Rep 2","BAP",,,,,,,,
"29","251237","PI152923","Rep 2","BAP",,,,,,,,
"76","251238","PI197542","Rep 2","BAP",,,,,,,,
"508","251239","PI585961","Rep 2","BAP",,,,,,,,
"52","251240","PI156330","Rep 2","BAP",,,,,,,,
"3","251241","PI22913","Rep 2","BAP",,,,,,,,
"67","251242","PI180348","Rep 2","BAP",,,,,,,,
"28","251243","PI152862","Rep 2","BAP",,,,,,,,
"70","251244","PI181899","Rep 2","BAP",,,,,,,,
"62","251245","PI167093","Rep 2","BAP",,,,,,,,
"69","251246","PI181083","Rep 2","BAP",,,,,,,,
"16","251247","PI146890","Rep 2","BAP",,,,,,,,
"207","251248","PI524475","Rep 2","BAP",,,,,,,,
"127","251249","PI329511","Rep 2","BAP",,,,,,,,
"77","251250","PI213900","Rep 2","BAP",,,,,,,,
"374","251251","PI562991","Rep 2","BAP",,,,,,,,
"54","251252","PI156463","Rep 2","BAP",,,,,,,,
"567","251253","PI641836","Rep 2","BAP",,,,,,,,
"79","251254","PI221548","Rep 2","BAP",,,,,,,,
"85","251255","PI253986","Rep 2","BAP",,,,,,,,
"63","251256","PI170787","Rep 2","BAP",,,,,,,,
"170","251257","PI330796","Rep 2","BAP",,,,,,,,
"456","251258","PI570388","Rep 2","BAP",,,,,,,,
"119","251259","PI329465","Rep 2","BAP",,,,,,,,
"94","251260","PI273969","Rep 2","BAP",,,,,,,,
"165","251261","PI330185","Rep 2","BAP",,,,,,,,
"373","251262","PI562990","Rep 2","BAP",,,,,,,,
"92","251263","PI267573","Rep 2","BAP",,,,,,,,
"189","251264","PI455307","Rep 2","BAP",,,,,,,,
"51","251265","PI156326","Rep 2","BAP",,,,,,,,
"393","251266","PI563355","Rep 2","BAP",,,,,,,,
"563","251267","PI641829","Rep 2","BAP",,,,,,,,
"149","251268","PI329646","Rep 2","BAP",,,,,,,,
"384","251269","PI563196","Rep 2","BAP",,,,,,,,
"134","251270","PI329550","Rep 2","BAP",,,,,,,,
"431","251271","PI569886","Rep 2","BAP",,,,,,,,
"146","251272","PI329632","Rep 2","BAP",,,,,,,,
"107","251273","PI329300","Rep 2","BAP",,,,,,,,
"449","251274","PI570109","Rep 2","BAP",,,,,,,,
"151","251275","PI329673","Rep 2","BAP",,,,,,,,
"182","251276","PI453106","Rep 2","BAP",,,,,,,,
"426","251277","PI569458","Rep 2","BAP",,,,,,,,
"439","251278","PI570073","Rep 2","BAP",,,,,,,,
"103","251279","PI303658","Rep 2","BAP",,,,,,,,
"429","251280","PI569462","Rep 2","BAP",,,,,,,,
"154","251281","PI329710","Rep 2","BAP",,,,,,,,
"82","251282","PI229841","Rep 2","BAP",,,,,,,,
"502","251283","PI585452","Rep 2","BAP",,,,,,,,
"386","251284","PI563329","Rep 2","BAP",,,,,,,,
"73","251285","PI196583","Rep 2","BAP",,,,,,,,
"377","251286","PI563002","Rep 2","BAP",,,,,,,,
"72","251287","PI196049","Rep 2","BAP",,,,,,,,
"558","251288","PI641810","Rep 2","BAP",,,,,,,,
"316","251289","PI534120","Rep 2","BAP",,,,,,,,
"405","251290","PI569416","Rep 2","BAP",,,,,,,,
"66","251291","PI179749","Rep 2","BAP",,,,,,,,
"594","251292","PI655972","Rep 2","BAP",,,,,,,,
"160","251293","PI330167","Rep 2","BAP",,,,,,,,
"335","251294","PI535785","Rep 2","BAP",,,,,,,,
"205","251295","PI521281","Rep 2","BAP",,,,,,,,
"501","251296","PI585448","Rep 2","BAP",,,,,,,,
"187","251297","PI455280","Rep 2","BAP",,,,,,,,
"61","251298","PI157804","Rep 2","BAP",,,,,,,,
"421","251299","PI569452","Rep 2","BAP",,,,,,,,
"451","251300","PI570114","Rep 2","BAP",,,,,,,,
"197","251301","PI510757","Rep 2","BAP",,,,,,,,
"25","251302","PI152816","Rep 2","BAP",,,,,,,,
"569","251303","PI641850","Rep 2","BAP",,,,,,,,
"68","251304","PI181080","Rep 2","BAP",,,,,,,,
"565","251305","PI641834","Rep 2","BAP",,,,,,,,
"455","251306","PI570373","Rep 2","BAP",,,,,,,,
"584","251307","PI646266","Rep 2","BAP",,,,,,,,
"450","251308","PI570110","Rep 2","BAP",,,,,,,,
