"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"383","250760","PI563032","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250760_LeafPhotoA_2025-10-07%2014_27_37.442-05_00.jpg","2025-10-07 14:27:39.654-05:00"," ","","1","SM-A166U1"
"383","250760","PI563032","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250760_LeafPhotoA_2025-10-07%2014_27_55.746-05_00.jpg","2025-10-07 14:27:57.809-05:00"," ","","2","SM-A166U1"
"383","250760","PI563032","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250760_LeafPhotoA_2025-10-07%2014_28_08.717-05_00.jpg","2025-10-07 14:28:10.794-05:00"," ","","3","SM-A166U1"
"31","250761","PI152963","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250761_LeafPhotoA_2025-10-07%2014_28_36.591-05_00.jpg","2025-10-07 14:28:38.783-05:00"," ","","1","SM-A166U1"
"31","250761","PI152963","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250761_LeafPhotoA_2025-10-07%2014_28_52.671-05_00.jpg","2025-10-07 14:28:54.800-05:00"," ","","2","SM-A166U1"
"31","250761","PI152963","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250761_LeafPhotoA_2025-10-07%2014_29_13.096-05_00.jpg","2025-10-07 14:29:15.305-05:00"," ","","3","SM-A166U1"
"346","250762","PI550604","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250762_LeafPhotoA_2025-10-07%2014_29_38.504-05_00.jpg","2025-10-07 14:29:40.595-05:00"," ","","1","SM-A166U1"
"346","250762","PI550604","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250762_LeafPhotoA_2025-10-07%2014_29_54.324-05_00.jpg","2025-10-07 14:29:56.417-05:00"," ","","2","SM-A166U1"
"346","250762","PI550604","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250762_LeafPhotoA_2025-10-07%2014_30_13.171-05_00.jpg","2025-10-07 14:30:15.316-05:00"," ","","3","SM-A166U1"
"64","250763","PI175919","Rep 1","BAP","LeafPhotoNotesA","no plants ","2025-10-07 14:30:30.591-05:00"," ","","1","SM-A166U1"
"404","250764","PI569264","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250764_LeafPhotoA_2025-10-07%2014_31_04.802-05_00.jpg","2025-10-07 14:31:07.118-05:00"," ","","1","SM-A166U1"
"404","250764","PI569264","Rep 1","BAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250764_LeafPhotoA_2025-10-07%2014_31_28.592-05_00.jpg","2025-10-07 14:31:30.661-05:00"," ","","2","SM-A166U1"
