image_path,segmentation_method
data/aamu2025/block2/21022_LeafPhotoA_2025-10-24 11_24_45.989-05_00.jpg,CV2
data/aamu2025/block2/21502_LeafPhotoA_2025-10-24 15_08_35.417-05_00.jpg,CV2
data/aamu2025/block2/20913_LeafPhotoA_2025-10-24 10_37_21.886-05_00.jpg,CV2
data/aamu2025/block2/21323_LeafPhotoA_2025-10-24 14_37_45.287-05_00.jpg,CV2
data/aamu2025/block2/21020_LeafPhotoA_2025-10-24 11_20_00.197-05_00.jpg,CV2
data/aamu2025/block2/20427_LeafPhotoA_2025-10-23 14_23_26.351-05_00.jpg,CV2
data/aamu2025/block2/20619_LeafPhotoA_2025-10-23 14_59_55.396-05_00.jpg,CV2
data/aamu2025/block2/20101_LeafPhotoA_2025-10-23 10_41_58.022-05_00.jpg,CV2
data/aamu2025/block2/20403_LeafPhotoA_2025-10-23 13_59_05.443-05_00.jpg,CV2
data/aamu2025/block2/21003_LeafPhotoA_2025-10-24 10_59_10.724-05_00.jpg,CV2
data/aamu2025/block2/21104_LeafPhotoA_2025-10-24 11_33_10.983-05_00.jpg,CV2
data/aamu2025/block2/21520_LeafPhotoA_2025-10-24 15_23_59.298-05_00.jpg,CV2
data/aamu2025/block2/20813_LeafPhotoA_2025-10-24 09_59_52.545-05_00.jpg,CV2
data/aamu2025/block2/20405_LeafPhotoA_2025-10-23 14_00_22.380-05_00.jpg,CV2
data/aamu2025/block2/21621_LeafPhotoA_2025-10-24 15_58_43.512-05_00.jpg,CV2
data/aamu2025/block2/20910_LeafPhotoA_2025-10-24 10_31_13.039-05_00.jpg,CV2
data/aamu2025/block2/21223_LeafPhotoA_2025-10-24 12_15_34.326-05_00.jpg,CV2
data/aamu2025/block2/20818_LeafPhotoA_2025-10-24 10_10_23.707-05_00.jpg,CV2
data/aamu2025/block2/20908_LeafPhotoA_2025-10-24 10_30_20.164-05_00.jpg,CV2
data/aamu2025/block2/21123_LeafPhotoA_2025-10-24 11_50_39.293-05_00.jpg,CV2
data/aamu2025/block2/20517_LeafPhotoA_2025-10-23 14_35_50.501-05_00.jpg,CV2
data/aamu2025/block2/21520_LeafPhotoA_2025-10-24 15_23_25.688-05_00.jpg,CV2
data/aamu2025/block2/20916_LeafPhotoA_2025-10-24 10_43_44.234-05_00.jpg,CV2
data/aamu2025/block2/20521_LeafPhotoA_2025-10-23 14_38_26.539-05_00.jpg,CV2
data/aamu2025/block2/20222_LeafPhotoA_2025-10-23 11_42_54.435-05_00.jpg,CV2
data/aamu2025/block2/20110_LeafPhotoA_2025-10-23 10_52_47.184-05_00.jpg,CV2
data/aamu2025/block2/21304_LeafPhotoA_2025-10-24 14_14_24.633-05_00.jpg,CV2
data/aamu2025/block2/20419_LeafPhotoA_2025-10-23 14_11_34.063-05_00.jpg,CV2
data/aamu2025/block2/20708_LeafPhotoA_2025-10-23 16_03_01.014-05_00.jpg,CV2
data/aamu2025/block2/21320_LeafPhotoA_2025-10-24 14_36_19.191-05_00.jpg,SAM3
data/aamu2025/block2/21208_LeafPhotoA_2025-10-24 11_59_35.609-05_00.jpg,CV2
data/aamu2025/block2/20501_LeafPhotoA_2025-10-23 14_25_04.433-05_00.jpg,CV2
data/aamu2025/block2/20915_LeafPhotoA_2025-10-24 10_41_57.823-05_00.jpg,CV2
data/aamu2025/block2/20608_LeafPhotoA_2025-10-23 14_48_27.489-05_00.jpg,CV2
data/aamu2025/block2/21220_LeafPhotoA_2025-10-24 12_14_00.776-05_00.jpg,Failed
data/aamu2025/block2/20711_LeafPhotoA_2025-10-23 16_05_32.368-05_00.jpg,CV2
data/aamu2025/block2/20519_LeafPhotoA_2025-10-23 14_37_14.182-05_00.jpg,CV2
data/aamu2025/block2/21214_LeafPhotoA_2025-10-24 12_06_37.823-05_00.jpg,CV2
data/aamu2025/block2/21305_LeafPhotoA_2025-10-24 14_16_54.487-05_00.jpg,CV2
data/aamu2025/block2/21022_LeafPhotoA_2025-10-24 11_23_21.977-05_00.jpg,CV2
data/aamu2025/block2/20316_LeafPhotoA_2025-10-23 12_11_16.099-05_00.jpg,CV2
