image_path,ExG_P20_disease_pct
10416_LeafPhotoA_2025-10-23 14_36_59.090-05_00_leaf.png,2.6
10417_LeafPhotoA_2025-10-23 14_37_41.074-05_00_leaf.png,8.13
10417_LeafPhotoA_2025-10-23 14_38_02.917-05_00_leaf.png,30.97
10417_LeafPhotoA_2025-10-23 14_38_29.798-05_00_leaf.png,21.89
10418_LeafPhotoA_2025-10-23 14_39_10.180-05_00_leaf.png,1.75
10418_LeafPhotoA_2025-10-23 14_39_25.460-05_00_leaf.png,68.52
10418_LeafPhotoA_2025-10-23 14_40_10.691-05_00_leaf.png,42.96
10419_LeafPhotoA_2025-10-23 14_41_31.708-05_00_leaf.png,0.11
10419_LeafPhotoA_2025-10-23 14_42_02.882-05_00_leaf.png,23.86
10419_LeafPhotoA_2025-10-23 14_42_29.271-05_00_leaf.png,10.25
10420_LeafPhotoA_2025-10-23 14_43_24.231-05_00_leaf.png,19.25
10420_LeafPhotoA_2025-10-23 14_43_52.478-05_00_leaf.png,71.85
10420_LeafPhotoA_2025-10-23 14_44_16.385-05_00_leaf.png,20.37
10421_LeafPhotoA_2025-10-23 14_45_08.346-05_00_leaf.png,14.55
10421_LeafPhotoA_2025-10-23 14_45_28.167-05_00_leaf.png,37.64
10421_LeafPhotoA_2025-10-23 14_45_49.566-05_00_leaf.png,31.7
10422_LeafPhotoA_2025-10-23 14_46_22.452-05_00_leaf.png,0.01
10422_LeafPhotoA_2025-10-23 14_46_58.811-05_00_leaf.png,0
10422_LeafPhotoA_2025-10-23 14_47_13.535-05_00_leaf.png,0
10423_LeafPhotoA_2025-10-23 14_48_00.934-05_00_leaf.png,27.74
10423_LeafPhotoA_2025-10-23 14_48_18.643-05_00_leaf.png,12.68
10423_LeafPhotoA_2025-10-23 14_48_36.001-05_00_leaf.png,10.35
10424_LeafPhotoA_2025-10-23 14_49_14.514-05_00_leaf.png,23.93
10424_LeafPhotoA_2025-10-23 14_49_31.808-05_00_leaf.png,7.42
10424_LeafPhotoA_2025-10-23 14_50_40.575-05_00_leaf.png,50.83
