image_path,segmentation_method
data/fvsu2025/bap2/251296_LeafPhotoA_2025-10-10 13_42_45.031-05_00.jpg,CV2
data/fvsu2025/bap2/250940_LeafPhotoA_2025-10-08 08_39_38.367-05_00.jpg,CV2
data/fvsu2025/bap2/250944_LeafPhotoA_2025-10-08 08_45_32.583-05_00.jpg,CV2
data/fvsu2025/bap2/250555_LeafPhotoA_2025-10-03 09_30_44.995-05_00.jpg,CV2
data/fvsu2025/bap2/250522_LeafPhotoA_2025-10-03 08_55_14.286-05_00.jpg,CV2
data/fvsu2025/bap2/250510_LeafPhotoA_2025-10-03 09_07_35.763-05_00.jpg,CV2
data/fvsu2025/bap2/250568_LeafPhotoA_2025-10-03 10_20_12.934-05_00.jpg,CV2
data/fvsu2025/bap2/250958_LeafPhotoA_2025-10-08 09_08_00.279-05_00.jpg,CV2
data/fvsu2025/bap2/250968_LeafPhotoA_2025-10-08 09_28_22.873-05_00.jpg,CV2
data/fvsu2025/bap2/250551_LeafPhotoA_2025-10-03 09_35_49.826-05_00.jpg,CV2
data/fvsu2025/bap2/250012_LeafPhotoA_2025-10-01 08_44_20.583-05_00.jpg,CV2
data/fvsu2025/bap2/251353_LeafPhotoA_2025-10-10 10_54_14.507-05_00.jpg,CV2
data/fvsu2025/bap2/251300_LeafPhotoA_2025-10-10 13_45_40.328-05_00.jpg,CV2
data/fvsu2025/bap2/250512_LeafPhotoA_2025-10-03 09_05_37.433-05_00.jpg,CV2
data/fvsu2025/bap2/250407_LeafPhotoA_2025-10-02 10_28_43.272-05_00.jpg,CV2
data/fvsu2025/bap2/250521_LeafPhotoA_2025-10-03 08_55_59.088-05_00.jpg,CV2
data/fvsu2025/bap2/250422_LeafPhotoA_2025-10-02 13_41_06.061-05_00.jpg,CV2
data/fvsu2025/bap2/250008_LeafPhotoA_2025-10-01 08_36_35.273-05_00.jpg,CV2
data/fvsu2025/bap2/250295_LeafPhotoA_2025-10-01 14_03_47.192-05_00.jpg,CV2
data/fvsu2025/bap2/250410_LeafPhotoA_2025-10-02 10_32_05.243-05_00.jpg,CV2
data/fvsu2025/bap2/250407_LeafPhotoA_2025-10-02 10_28_58.729-05_00.jpg,CV2
data/fvsu2025/bap2/250577_LeafPhotoA_2025-10-03 10_35_08.687-05_00.jpg,CV2
data/fvsu2025/bap2/250291_LeafPhotoA_2025-10-01 13_59_16.056-05_00.jpg,CV2
data/fvsu2025/bap2/250426_LeafPhotoA_2025-10-02 13_45_53.220-05_00.jpg,CV2
data/fvsu2025/bap2/250437_LeafPhotoA_2025-10-02 13_57_18.684-05_00.jpg,CV2
data/fvsu2025/bap2/250990_LeafPhotoA_2025-10-08 10_09_18.414-05_00.jpg,CV2
data/fvsu2025/bap2/250517_LeafPhotoA_2025-10-03 09_00_01.786-05_00.jpg,CV2
data/fvsu2025/bap2/250273_LeafPhotoA_2025-10-01 13_23_46.665-05_00.jpg,CV2
data/fvsu2025/bap2/250553_LeafPhotoA_2025-10-03 09_33_19.916-05_00.jpg,CV2
data/fvsu2025/bap2/251349_LeafPhotoA_2025-10-10 10_58_01.890-05_00.jpg,CV2
data/fvsu2025/bap2/250289_LeafPhotoA_2025-10-01 13_56_39.592-05_00.jpg,CV2
data/fvsu2025/bap2/250772_LeafPhotoA_2025-10-07 14_38_54.133-05_00.jpg,CV2
data/fvsu2025/bap2/250743_LeafPhotoA_2025-10-07 14_25_36.236-05_00.jpg,CV2
data/fvsu2025/bap2/250410_LeafPhotoA_2025-10-02 10_31_35.906-05_00.jpg,CV2
data/fvsu2025/bap2/251320_LeafPhotoA_2025-10-10 14_01_44.221-05_00.jpg,CV2
data/fvsu2025/bap2/251326_LeafPhotoA_2025-10-10 13_57_05.494-05_00.jpg,CV2
data/fvsu2025/bap2/251321_LeafPhotoA_2025-10-10 14_00_58.292-05_00.jpg,CV2
data/fvsu2025/bap2/250313_LeafPhotoA_2025-10-01 14_25_07.038-05_00.jpg,CV2
data/fvsu2025/bap2/250526_LeafPhotoA_2025-10-03 09_14_40.321-05_00.jpg,CV2
