plot,accession,flagleaflength,flagleafwidth,leaf.number,plant.height
6075,PI 656030,44,6.2,6,56
6076,PI 655981,40,3.4,13,300
6077,PI 576386,35.8,3,14,181
6078,BTx623,38.4,5.5,12,95
6079,PI 613536,26,5.5,9,80
6080,PI 659693,24.5,4,10,58
6081,BTx623,37.4,5,12,100
6082,PI 641874,38.3,4.5,10,72
6083,PI 576348,46,4.1,11,92
6084,PI 655970,NA,NA,14,172
6085,PI 595718,39,4.4,11,88
6086,BTx623,x,NA,NA,NA
6087,PI 533957,49.7,5,12,79
6088,PI 533980,47.5,4.3,16,75
6089,PI 656021,32,4.4,13,79
6090,PI 534009,NA,NA,16,92
6091,PI 597973,36.4,5,12,102
6092,PI 533842,NA,NA,14,74
6093,BTx623,45,5.9,13,97
6094,PI 656068,46.7,7.8,14,92
6095,PI 533948,41.3,6.4,11,81
6096,PI 533810,43.4,7.3,13,70
6097,BTx623,31.6,3.6,11,95
6098,PI 534132,41.5,6.7,9,75
6099,PI 597946,37.8,2.4,9,110
6100,PI 656011,42,5.5,13,105
6101,PI 576390,26.1,3,11,92
6102,PI 595744,30,5.8,11,120
6103,PI 576437,34,4.3,13,155
6104,PI 656048,38.4,6.3,12,112
6105,PI 534157,36.8,6.3,13,97
6106,PI 642998,45,6.5,12,300
6107,PI 533987,32,4.8,8,78
6108,TX430,30,3.4,14,90
6109,PI 656107,NA,NA,15,117
6110,PI 656121,34.5,4.2,10,100
6111,PI 576396,25.5,4.4,11,70
6112,PI 533954,52.2,6.1,10,70
6113,PI 533903,47,6.8,10,77
6114,PI 548797,27.5,3.5,13,89
6115,PI 576380,46.6,7.7,13,112
6116,PI 629040,39.7,5.2,12,73
6117,PI 533910,43.6,5,9,75
6118,PI 576399,32.5,9.1,12,147
6119,BTx623,26.3,3.7,11,87
6120,PI 597961,40,6.3,13,80
6121,PI 656075,38.9,6.8,16,93
6122,PI 534070,43.5,4.6,11,72
6123,PI 656006,45.3,5.7,15,80
6124,PI 595741,38,4.2,11,91
6125,PI 656001,45.5,3.2,15,101
6126,PI 533949,40.6,4.2,10,88
6127,PI 533800,64.1,6.2,14,65
6128,PI 576435,47.2,9,10,95
6129,PI 534099,37.6,5.5,13,85
6130,PI 576373,28,3.5,12,76
6131,PI 534139,?,NA,14,285
6132,PI 656069,45.5,4,13,76
6133,PI 656086,53.5,6.2,14,110
6134,PI 534054,32.1,4.9,15,75
6135,PI 576352,31.5,5.5,15,78
6136,PI 656032,NA,NA,15,263
6137,PI 656104,x,NA,11,83
6138,PI 656106,47.4,8.3,12,100
6139,PI 656022,29.7,4.5,13,100
6140,PI 533940,29.2,3.6,11,108
6141,BTx623,28.5,4.9,10,98
6142,PI 534046,x,NA,NA,NA
6143,PI 641849,x,NA,NA,NA
6144,PI 534053,45.7,5.3,14,81
6145,PI 576381,38,4.7,13,70
6146,PI 656016,35.5,4.6,15,92
6147,PI 609456,NA,NA,19,254
6148,PI 533961,41.2,4.3,15,81
6149,PI 656050,25.6,4.2,13,250
6150,PI 533955,25.6,3.2,11,128
6151,PI 534135,56,4.9,9,80
6152,PI 533998,38.9,3.3,12,81
6153,PI 534116,35,3.9,9,87
6154,PI 656080,31.3,3.5,9,112
6155,PI 533919,51.3,7.1,11,80
6156,BTx623,36.1,5.2,13,108
6157,PI 576376,40.1,4.1,11,85
6158,PI 585295,NA,NA,12,110
6159,PI 533901,37,5,11,85
6160,PI 659753,NA,NA,16,152
6161,PI 597960,25.5,5.3,15,225
6162,PI 656035,41,6,12,255
6163,PI 597949,36.4,4.1,12,108
6164,PI 576393,51.3,9.6,12,132
6165,PI 659691,NA,NA,17,120
6166,PI 656109,21,4.2,9,62
6167,PI 534123,39,3.8,11,95
6168,PI 534097,28.6,2.3,9,72
6169,PI 656099,NA,NA,14,157
6170,PI 656094,46,5.1,11,110
6171,PI 607931,27.4,5.1,16,85
6172,PI 659695,52,5.1,13,100
6173,PI 656102,32.6,4.1,9,100
6174,BTx623,33.5,5.5,10,102
6175,BTx623,24.5,3.5,12,101
6176,PI 533776,30.9,4.1,12,102
6177,PI 656008,47.8,9.3,14,100
6178,PI 534117,35,4.4,10,80
6179,PI 656029,39,5.5,14,80
6180,PI 533830,25,5.6,9,58
6181,PI 659696,31.3,6.6,13,140
6182,PI 656117,46.2,6.8,13,80
6183,PI 534138,20.5,3,16,87
6184,PI 533789,38.7,4,14,82
6185,PI 329435,NA,NA,13,72
6186,BTx623,36,5.5,12,109
6187,PI 533755,32.6,4.5,12,83
6188,PI 533939,38.5,5.6,12,156
6189,PI 655972,30.3,4.5,16,162
6190,PI 656062,37.8,5.2,14,141
6191,PI 656043,37.3,7.1,14,167
6192,PI 655978,53.5,4.4,11,73
6193,PI 656004,28.5,3.1,14,80
6194,BTx623,25,4.2,12,109
6195,PI 656044,30.6,5.8,14,128
6196,PI 533938,38,4.7,11,161
6197,PI 533760,36.4,5,12,80
6198,PI 656002,43.6,5.6,13,80
6199,PI 597967,40.2,6.8,13,80
6200,PI 656114,38.5,6.7,12,72
6201,PI 656041,43,4,13,78
6202,PI 655999,54,3.8,8,132
6203,PI 152651,58.2,4.5,8,60
6204,PI 533761,43.6,5.5,15,99
6205,PI 595740,30.5,3.6,13,90
6206,PI 533943,44,6.3,12,82
6207,PI 533807,41.2,5.3,11,117
6208,PI 629059,38.3,4.7,12,83
6209,BTx623,23,2.8,12,110
6210,PI 656077,37,3.7,12,149
6211,PI 561073,25.8,3.6,17,120
6212,PI 533902,47.2,5.5,13,72
6213,PI 533833,24,5,11,85
6214,PI 533877,x,NA,NA,NA
6215,PI 576425,38,4,15,92
6216,BTx623,42.5,5,11,78
6217,PI 655971,39.2,3.5,12,82
6218,PI 597952,42,6.4,14,72
6219,BTx623,44,4.5,12,92
6220,PI 656091,NA,NA,16,75
6221,PI 534114,27.7,4.9,11,80
6222,PI 655974,29,4.3,12,154
6223,BTx623,26.5,3.2,11,88
6224,PI 576364,19,3.2,11,90
6225,PI 656052,43.5,4.2,13,75
6226,PI 564165,NA,NA,14,85
6227,PI 534112,41.6,5.5,12,83
6228,PI 595714,48.1,5.6,12,87
6229,BTx623,46.7,8.3,11,105
6230,PI 655997,30,4.1,12,78
6231,PI 533937,32.1,4.7,10,98
6232,PI 595739,35.9,6.8,14,87
6233,PI 597972,51.6,5,14,80
6234,PI 565121,41.5,7.9,15,115
6235,BTx623,30.5,4.3,12,104
6236,BTx623,30.7,4.2,12,98
6237,PI 598069,NA,NA,16,211
6238,PI 656089,24.5,3.6,12,190
6239,PI 656097,NA,NA,13,125
6240,PI 576401,42.1,6.8,14,113
6241,PI 533845,28.8,4.7,10,68
6242,PI 595743,NA,NA,17,81
6243,PI 534128,36.5,5.2,14,110
6244,PI 576385,39,5.6,11,165
6245,PI 533970,45.1,6,10,75
6246,PI 656009,34.1,4.9,10,75
6247,PI 533752,40.4,7.3,14,95
6248,PI 533965,37.6,5.5,15,89
6249,PI 597945,41.5,6.3,13,98
6250,PI 534115,28.4,6,13,97
6251,PI 656120,36.6,5.7,10,78
6252,PI 656118,42.4,4,14,99
6253,PI 576422,44.1,4.5,13,92
6254,PI 533911,48.8,7.2,13,82
6255,BTx623,45.1,5.8,11,93
6256,PI 656085,34.2,4.1,10,75
6257,PI 533936,31.3,2.9,13,90
6258,PI 533814,28.9,4.6,14,72
6259,PI 576337,32.6,2.5,10,110
6260,PI 656049,31.8,5.6,15,165
6261,PI 534148,39.2,4.6,15,101
6262,PI 533863,33.6,5,13,78
6263,PI 534021,NA,NA,15,80
6264,PI 533759,37,4.9,11,68
6265,PI 534063,35.6,4,11,120
6266,PI 533915,30.5,6.6,12,131
6267,PI 534104,NA,NA,12,78
6268,PI 534108,46,5.9,13,112
6269,PI 656017,NA,NA,13,125
6270,BTx623,42.7,5.6,11,97
6271,BTx623,31,4.9,12,98
6272,PI 576418,38.8,4.7,12,123
6273,PI 656020,53,5.5,11,82
6274,PI 534124,45.6,4,12,105
6275,PI 576350,x,NA,NA,NA
6276,PI 576345,NA,NA,16,132
6277,PI 17548,35,5.1,12,248
6278,PI 597950,24.2,4.6,11,180
6279,BTx623,27.5,4.5,13,110
6280,PI 656018,32.9,3.3,14,99
6281,BTx623,?,NA,12,68
6282,PI 656088,26.8,4.5,13,152
6283,PI 642791,30.6,5,14,95
6284,PI 576347,x,NA,NA,NA
6285,PI 642992,54.8,7.8,13,198
6286,PI 595720,42.2,5,12,62
6287,PI 533976,38,6.4,12,68
6288,PI 534133,49.6,6.9,15,92
6289,BTx623,35.5,5.2,11,98
6290,PI 533869,35.6,5.8,9,108
6291,PI 533754,43,4.3,12,107
6292,PI 655979,24.6,3.8,11,NA
6293,PI 533838,44.6,4.5,15,102
6294,PI 534096,48,6.8,11,97
6295,PI 656014,46,6.5,13,200
6296,PI 534105,45.1,5.8,11,83
6297,PI 542406,NA,NA,15,160
6298,PI 534145,40.2,4.3,9,98
6299,PI 656056,48.1,8.1,13,120
6300,PI 276837,22.6,3.6,11,168
6301,PI 533979,32.6,4,12,83
6302,PI 576428,27.8,5.7,13,100
6303,PI 533997,34.5,3.9,9,145
6304,PI 656079,44,3.5,14,115
