Unique_ID,Range,Row,Plot ID,Genotype,Flowering,Stand Count,Notes
25_2356,9,99,2356,PI 576408,8/12/2025,,
25_2357,9,98,2357,PI 656068,8/16/2025,,
25_2358,9,97,2358,PI 655991,8/16/2025,,
25_2359,9,96,2359,PI 534078,8/1/2025,,
25_2360,9,95,2360,PI 656096,8/2/2025,,
25_2361,9,94,2361,PI 595720,8/6/2025,,
25_2362,9,93,2362,PI 533961,8/7/2025,,
25_2363,9,92,2363,PI 534119,8/15/2025,,dirs
25_2364,9,91,2364,PI 533932,8/13/2025,,
25_2365,9,90,2365,PI 659693,7/25/2025,,
25_2366,9,89,2366,SC0618,8/16/2025,,
25_2367,9,88,2367,PI 576434,8/18/2025,,
25_2368,9,87,2368,PI 533917,8/7/2025,,
25_2369,9,86,2369,PI 656120,8/7/2025,,
25_2370,9,85,2370,Check,8/8/2025,5,
25_2371,9,84,2371,PI 655990,8/7/2025,,
25_2372,9,83,2372,PI 533780,8/12/2025,,
25_2373,9,82,2373,PI 651496,NA,,stem snap; 100%
25_2374,9,81,2374,SC0854,8/2/2025,,
25_2375,9,80,2375,PI 597959,7/29/2025,,
25_2376,9,79,2376,PI 597978,8/8/2025,,
25_2377,9,78,2377,PI 533879,8/5/2025,,
25_2378,9,77,2378,PI 533795,8/8/2025,,
25_2379,9,76,2379,PI 533791,7/29/2025,,
25_2380,9,75,2380,PI 153844,8/15/2025,,
25_2381,9,74,2381,PI 533874,8/12/2025,4,
25_2382,9,73,2382,PI 655995,8/20/2025,,
25_2383,9,72,2383,PI 533887,7/31/2025,,
25_2384,9,71,2384,PI 534162,8/15/2025,,
25_2385,9,70,2385,PI 597944,8/13/2025,,
25_2386,9,69,2386,PI 656066,NA,,stem snap; 100%
25_2387,9,68,2387,PI 564164,8/15/2025,,
25_2388,9,67,2388,PI 641836,8/18/2025,,
25_2389,9,66,2389,PI 576406,8/18/2025,,
25_2390,9,65,2390,Check,8/7/2025,,
25_2391,9,64,2391,SC1442,8/7/2025,,root lodging; 100%
25_2392,9,63,2392,Check,8/8/2025,,
25_2393,9,62,2393,PI 656112,8/4/2025,,
25_2394,9,61,2394,PI 533867,8/5/2025,,
25_2395,9,60,2395,PI 533815,8/4/2025,,
25_2396,9,59,2396,PI 576413,8/3/2025,,
25_2397,9,58,2397,PI 656037,8/13/2025,,
25_2398,9,57,2398,PI 533894,8/1/2025,,
25_2399,9,56,2399,PI 576352,8/7/2025,,
25_2400,9,55,2400,PI 533859,8/16/2025,,
25_2401,10,55,2401,PI 534116,7/27/2025,,
25_2402,10,56,2402,Check,8/7/2025,,
25_2403,10,57,2403,PI 533948,8/7/2025,,
25_2404,10,58,2404,SC0156,8/18/2025,,
25_2405,10,59,2405,PI 576382,7/29/2025,,
25_2406,10,60,2406,PI 534063,8/12/2025,,
25_2407,10,61,2407,PI 534015,8/11/2025,,
25_2408,10,62,2408,PI 574455,8/18/2025,,
25_2409,10,63,2409,PI 534020,8/18/2025,,dirs
25_2410,10,64,2410,PI 656102,8/12/2025,,
25_2411,10,65,2411,PI 585291,8/16/2025,,
25_2412,10,66,2412,PI 576377,8/8/2025,,
25_2413,10,67,2413,PI 534102,8/9/2025,,
25_2414,10,68,2414,PI 656111,8/13/2025,,
25_2415,10,69,2415,PI 655996,8/7/2025,,
25_2416,10,70,2416,PI 533880,8/16/2025,5,
25_2417,10,71,2417,PI 595701,8/7/2025,,
25_2418,10,72,2418,PI 533863,8/11/2025,,
25_2419,10,73,2419,SC1097,8/20/2025,,
25_2420,10,74,2420,PI 601816,NA,,stem snap; 99%
25_2421,10,75,2421,SC0138,8/17/2025,,dirs
25_2422,10,76,2422,PI 533808,8/7/2025,,
25_2423,10,77,2423,PI 534034,8/7/2025,,
25_2424,10,78,2424,PI 534151,8/16/2025,,
25_2425,10,79,2425,PI 595714,8/4/2025,,
25_2426,10,80,2426,Check,8/6/2025,,
25_2427,10,81,2427,PI 576349,8/6/2025,,
25_2428,10,82,2428,PI 642791,8/18/2025,,
25_2429,10,83,2429,PI 656065,8/6/2025,,
25_2430,10,84,2430,SC0003,8/6/2025,,
25_2431,10,85,2431,PI 656046,8/10/2025,,
25_2432,10,86,2432,PI 656004,8/8/2025,,
25_2433,10,87,2433,PI 595735,8/7/2025,,
25_2434,10,88,2434,PI 153852,8/8/2025,,
25_2435,10,89,2435,PI 641849,7/28/2025,,
25_2436,10,90,2436,PI 533911,7/31/2025,,NOt accurate
25_2437,10,91,2437,PI 656090,8/2/2025,,
25_2438,10,92,2438,PI 533966,8/20/2025,,
25_2439,10,93,2439,PI 534165,8/8/2025,1,
25_2440,10,94,2440,PI 576421,8/8/2025,,
25_2441,10,95,2441,PI 533821,8/6/2025,,
25_2442,10,96,2442,Check,8/8/2025,,
25_2443,10,97,2443,PI 533980,8/18/2025,,
25_2444,10,98,2444,PI 534084,7/30/2025,,
25_2445,10,99,2445,PI 534157,8/18/2025,,
25_2446,10,100,2446,PI 533925,8/16/2025,,
