plotNumber,Rep,date,genotype,A,B,score_average,Comment
2264,2,828,PI 533882,2.5,3,2.75,
2265,2,828,PI 576378,3,3.5,3.25,
2266,2,828,PI 656064,5,5,5,
2267,2,828,SC0636,5,5,5,
2268,2,828,PI 576342,5,5,5,
2269,2,828,PI 533860,3.5,4,3.75,
2270,2,828,PI 655989,4,4.5,4.25,
2271,2,828,PI 533926,5,5,5,
2272,2,828,PI 533898,2,2.5,2.25,
2273,2,828,PI 613536,3,4,3.5,
2274,2,828,PI 656108,4.5,5,4.75,
2275,2,828,PI 656104,3.5,4,3.75,
2276,2,828,PI 656050,3.5,3.5,3.5,
2277,2,828,PI 597947,4,4,4,
2278,2,828,SC0834,5,5,5,
2279,2,828,PI 533784,3.5,4,3.75,
2280,2,828,PI 533883,3.5,4,3.75,
2281,2,828,SC0923,4,4,4,
2282,2,828,PI 597943,4,4,4,
2283,2,828,PI 597954,3,4.5,3.75,
2284,2,828,PI 576353,4,4,4,
2285,2,828,PI 595747,2,3,2.5,
2286,2,828,PI 629040,1.5,2,1.75,
2287,2,828,PI 533922,3.5,3.5,3.5,
2288,2,828,PI 534099,3,3.5,3.25,
2289,2,828,PI 576410,3,3,3,
2290,2,828,PI 656067,5,4.5,4.75,
2291,2,828,PI 533824,3,4.5,3.75,
2292,2,828,PI 533947,4,4,4,
2293,2,828,Check,2.5,2,2.25,NLB
2294,2,828,PI 533845,2.5,3,2.75,
2295,2,828,PI 35038,4,4,4,
2296,2,828,PI 576373,2,3,2.5,
2297,2,828,PI 576370,5,5,5,
2298,2,828,SC0517,4,3.5,3.75,
2299,2,828,Check,2,2,2,
2300,2,828,PI 533973,3.5,3,3.25,
2301,2,828,PI 656103,5,5,5,
2302,2,828,PI 595742,4,5,4.5,
2303,2,828,PI 659694,2,2,2,
2304,2,828,PI 534160,3,3,3,
2305,2,828,PI 533981,3.5,3.5,3.5,
2306,2,828,SC0747,3.5,3.5,3.5,
2307,2,828,PI 534021,3.5,4,3.75,
2308,2,828,PI 595730,5,5,5,
2309,2,828,PI 533937,2,2,2,
2310,2,828,PI 576420,2.5,2.5,2.5,
2311,2,828,PI 656114,2,2,2,
2312,2,828,PI 533787,2,3,2.5,
2313,2,828,PI 576346,4.5,4.5,4.5,
2314,2,828,PI 656009,2,2,2,
2315,2,828,PI 576437,3,2.5,2.75,
2316,2,828,PI 534000,2.5,2,2.25,
2317,2,828,PI 534065,4,3,3.5,
2318,2,828,SC0602,4,4,4,
2319,2,828,Check,2.5,3,2.75,
2320,2,828,PI 656089,3,3,3,
2321,2,828,PI 656115,3.5,3.5,3.5,
2322,2,828,PI 552856,2,2,2,
2323,2,828,SC0445,5,5,5,
2324,2,828,PI 534081,5,5,5,
2325,2,828,Check,2,1.5,1.75,
2326,2,828,SC1133,4.5,4.5,4.5,
2327,2,828,PI 656008,2.5,2,2.25,
2328,2,828,PI 576397,3,2.5,2.75,
2329,2,828,PI 533982,3.5,3.5,3.5,
2330,2,828,BTx399,3.5,3,3.25,
2331,2,828,PI 576366,3,4,3.5,
2332,2,828,SC0759,2,2,2,
2333,2,828,PI 655998,3,3,3,
2334,2,828,SC0412,3.5,3.5,3.5,
2335,2,828,PI 595725,3.5,3,3.25,
2336,2,828,PI 576335,4,4,4,
2337,2,828,Check,3.5,3.5,3.5,
2338,2,828,PI 576404,5,5,5,
2339,2,828,PI 597958,2,2,2,
2340,2,828,PI 656110,3,4,3.5,bipolaris
2341,2,828,PI 656011,2.5,2,2.25,
2342,2,828,PI 534052,2.5,3,2.75,
2343,2,828,SC0479,3,1.5,2.25,NLB
2344,2,828,PI 152651,5,5,5,
2345,2,828,PI 533812,5,5,5,
2346,2,828,Check,2.5,3.5,3,
2347,2,828,PI 656020,3.5,4,3.75,
2348,2,828,PI 597952,3,3.5,3.25,
2349,2,828,PI 534030,2.5,2,2.25,
2350,2,828,PI 655985,3.5,3.5,3.5,
2351,2,828,PI 609456,3,3,3,
2352,2,828,PI 534130,5,5,5,
2353,2,828,PI 595705,5,5,5,
2354,2,828,PI 533956,4,4,4,
2355,2,828,PI 656030,4,5,4.5,
2356,2,828,PI 576408,5,5,5,bipolaris
2357,2,828,PI 656068,2,1.5,1.75,
2358,2,828,PI 655991,2,1.5,1.75,
2359,2,828,PI 534078,4.5,4,4.25,
2360,2,828,PI 656096,3,3,3,
2361,2,828,PI 595720,2.5,3,2.75,
2362,2,828,PI 533961,3.5,3,3.25,
2363,2,828,PI 534119,2.5,2.5,2.5,
2364,2,828,PI 533932,3.5,3.5,3.5,
2365,2,828,PI 659693,3,3.5,3.25,
2366,2,828,SC0618,3,2.5,2.75,
2367,2,828,PI 576434,4,2,3,
2368,2,828,PI 533917,3,3.5,3.25,
2369,2,828,PI 656120,2,3,2.5,
2370,2,828,Check,3,2,2.5,
2371,2,828,PI 655990,4.5,4.5,4.5,
2372,2,828,PI 533780,4.5,4.5,4.5,
2373,2,828,PI 651496,4,4.5,4.25,
2374,2,828,SC0854,5,5,5,
2375,2,828,PI 597959,2.5,2,2.25,
2376,2,828,PI 597978,5,5,5,
2377,2,828,PI 533879,5,5,5,
2378,2,828,PI 533795,3,2.5,2.75,
2379,2,828,PI 533791,5,5,5,
2380,2,828,PI 153844,4.5,4.5,4.5,
2381,2,828,PI 533874,3,2.5,2.75,
2382,2,828,PI 655995,3,3,3,
2383,2,828,PI 533887,4,4,4,lodged
2384,2,828,PI 534162,4,3.5,3.75,
2385,2,828,PI 597944,3,3,3,
2386,2,828,PI 656066,3,2.5,2.75,
2387,2,828,PI 564164,2,2.5,2.25,
2388,2,828,PI 641836,4,4,4,
2389,2,828,PI 576406,3,5,4,
2390,2,828,Check,2,4.5,3.25,
2391,2,828,SC1442,4,4,4,lodged
2392,2,828,Check,3.5,3.5,3.5,
2393,2,828,PI 656112,5,4.5,4.75,
2394,2,828,PI 533867,5,5,5,
2395,2,828,PI 533815,5,5,5,
2396,2,828,PI 576413,4.5,5,4.75,
2397,2,828,PI 656037,2,2,2,
2398,2,828,PI 533894,5,5,5,
2399,2,828,PI 576352,3.5,2.5,3,
2400,2,828,PI 533859,4,4,4,HS 2 everything
2401,2,828,PI 534116,4,3.5,3.75,
2402,2,828,Check,3,3,3,
2403,2,828,PI 533948,3.5,3,3.25,
2404,2,828,SC0156,5,5,5,
2405,2,828,PI 576382,5,5,5,
2406,2,828,PI 534063,3.5,2.5,3,
2407,2,828,PI 534015,4.5,5,4.75,
2408,2,828,PI 574455,2,2,2,
2409,2,828,PI 534020,3.5,3.5,3.5,
2410,2,828,PI 656102,4,3.5,3.75,
2411,2,828,PI 585291,1.5,1.5,1.5,
2412,2,828,PI 576377,5,4,4.5,
2413,2,828,PI 534102,3.5,3,3.25,
2414,2,828,PI 656111,3.5,3.5,3.5,
2415,2,828,PI 655996,1.5,1,1.25,
2416,2,828,PI 533880,1.5,1.5,1.5,
2417,2,828,PI 595701,3,3,3,
2418,2,828,PI 533863,3.5,4.5,4,
2419,2,828,SC1097,5,5,5,
2420,2,828,PI 601816,,,,greensnap
2421,2,828,SC0138,3,3.5,3.25,
2422,2,828,PI 533808,4,4,4,
2423,2,828,PI 534034,4,4.5,4.25,
2424,2,828,PI 534151,3.5,4,3.75,
2425,2,828,PI 595714,3,2,2.5,
2426,2,828,Check,2,3,2.5,
2427,2,828,PI 576349,2.5,2.5,2.5,
2428,2,828,PI 642791,3.5,3.5,3.5,
2429,2,828,PI 656065,4,4,4,
2430,2,828,SC0003,2.5,2,2.25,
2431,2,828,PI 656046,5,5,5,
2432,2,828,PI 656004,1.5,1.5,1.5,
2433,2,828,PI 595735,3,2.5,2.75,
2434,2,828,PI 153852,2.5,3.5,3,
2435,2,828,PI 641849,4,4,4,
2436,2,828,PI 533911,2.5,2,2.25,
2437,2,828,PI 656090,3,2,2.5,
2438,2,828,PI 533966,2.5,1.5,2,
2439,2,828,PI 534165,,,,nothing
2440,2,828,PI 576421,3.5,3.5,3.5,
2441,2,828,PI 533821,3.5,3.5,3.5,
2442,2,828,Check,2,3.5,2.75,
2443,2,828,PI 533980,3,2,2.5,
2444,2,828,PI 534084,4,4,4,
2445,2,828,PI 534157,2.5,3,2.75,
2446,2,828,PI 533925,2,2,2,
2447,2,828,PI 576401,2,1.5,1.75,
2448,2,828,PI 656041,3,2.5,2.75,
2449,2,828,SC1021,4,4,4,
2450,2,828,PI 533957,3,2,2.5,
2451,2,828,PI 576351,2,2,2,
2452,2,828,PI 534089,5,5,5,
2453,2,828,PI 607931,3.5,4,3.75,
2454,2,828,PI 656105,5,5,5,
2455,2,828,PI 534142,3,2.5,2.75,
2456,2,828,PI 656019,4,4,4,
2457,2,828,PI 597946,5,5,5,
2458,2,828,SC0542,4,4.5,4.25,
2459,2,828,PI 533870,4,4,4,
2460,2,828,PI 659753,4.5,4.5,4.5,
2461,2,828,PI 533933,4.5,5,4.75,
2462,2,828,PI 656071,2.5,2.5,2.5,
2463,2,828,PI 534156,,,,nothing
2464,2,828,PI 576343,5,5,5,
2465,2,828,PI 656021,3.5,3.5,3.5,
2466,2,828,PI 656076,1.5,1.5,1.5,
2467,2,828,PI 533839,2.5,2,2.25,
2468,2,828,PI 533844,3,2.5,2.75,
2469,2,828,PI 576425,2,2,2,
2470,2,828,SC1024,4.5,4.5,4.5,
2471,2,828,PI 534155,3,2,2.5,
2472,2,828,PI 534149,2.5,3.5,3,
2473,2,828,PI 576394,2.5,0.5,1.5,
2474,2,828,PI 656026,2.5,2.5,2.5,
2475,2,828,PI 534040,4.5,4,4.25,
2476,2,828,Check,3.5,3,3.25,
2477,2,828,PI 656101,5,5,5,
2478,2,828,PI 534148,2,2,2,
2479,2,828,SC0965,5,5,5,
2480,2,828,PI 656023,3,3.5,3.25,
2481,2,828,PI 576334,4.5,4,4.25,lodged
2482,2,828,PI 533802,2,2,2,
2483,2,828,PI 656017,3.5,3,3.25,
2484,2,828,PI 653617,4.5,4,4.25,
2485,2,828,PI 629034,1.5,1.5,1.5,
2486,2,828,PI 576386,2,2,2,
2487,2,828,PI 576412,2.5,2.5,2.5,
2488,2,828,PI 48770,3.5,3.5,3.5,
2489,2,828,PI 534073,4,4,4,
2490,2,828,PI 534152,3,3,3,
2491,2,828,SC0870,4.5,4,4.25,
2492,2,828,PI 656072,3.5,3.5,3.5,
2493,2,828,SC0263,4.5,4.5,4.5,
2494,2,828,PI 533905,5,5,5,
2495,2,828,PI 656034,2,2,2,
2496,2,828,PI 595706,4,5,4.5,
2497,2,828,PI 533827,4,4,4,
2498,2,828,SC0550,3,2.5,2.75,
2499,2,828,PI 576374,3,2,2.5,
2500,2,828,BTx643,2,2,2,
2501,2,828,PI 576414,4,4,4,
2502,2,828,Check,3,3,3,
2503,2,828,PI 533975,4,3.5,3.75,
2504,2,828,PI 533813,2,2.5,2.25,
2505,2,828,PI 656069,2.5,3.5,3,
2506,2,828,PI 533776,3,2.5,2.75,
2507,2,828,PI 534043,3,2,2.5,
2508,2,828,SC0436,4,3.5,3.75,
2509,2,828,SC0878,5,5,5,
2510,2,828,PI 656106,2.5,2,2.25,
2511,2,828,PI 533866,2,1.5,1.75,
2512,2,828,PI 533754,2,2,2,
2513,2,828,PI 576416,3,3.5,3.25,
2514,2,828,PI 533823,5,5,5,
2515,2,828,Check,2.5,2,2.25,
2516,2,828,PI 533855,4,4.5,4.25,
2517,2,828,PI 533927,3.5,2.5,3,
2518,2,828,PI 533836,4,3.5,3.75,
2519,2,828,PI 595738,2.5,1.5,2,
2520,2,828,Check,2.5,2,2.25,
2521,2,828,PI 533886,5,5,5,
2522,2,828,PI 656058,3,3,3,
2523,2,828,PI 576357,4.5,5,4.75,
2524,2,828,PI 576345,4,3.5,3.75,
2525,2,828,PI 533959,3,2.5,2.75,
2526,2,828,PI 533971,4,4.5,4.25,
2527,2,828,Check,2.5,3,2.75,
2528,2,828,PI 533785,3,2,2.5,
2529,2,828,PI 656073,2,2.5,2.25,
2530,2,828,PI 533885,5,5,5,
2531,2,828,PI 576387,2.5,2,2.25,
2532,2,828,PI 629059,2.5,3,2.75,
2533,2,828,PI 656005,3.5,3.5,3.5,
2534,2,828,PI 576436,2.5,2.5,2.5,
2535,2,828,PI 656000,3.5,3,3.25,
2536,2,828,PI 534010,5,5,5,
2537,2,828,PI 565121,3.5,2,2.75,
2538,2,828,PI 533950,4.5,4.5,4.5,
2539,2,828,Check,4,3,3.5,
2540,2,828,SC1120,4.5,4.5,4.5,
2541,2,828,PI 534095,5,4,4.5,
2542,2,828,PI 597977,5,5,5,
2543,2,828,PI 533896,4,3.5,3.75,
2544,2,828,PI 533976,3,1.5,2.25,
2545,2,828,PI 576355,2.5,2.5,2.5,
2546,2,828,PI 533864,3,3,3,
2547,2,828,PI 656078,2.5,1.5,2,
2548,2,828,PI 576350,3,2.5,2.75,
2549,2,828,Check,2.5,1.5,2,
2550,2,828,PI 656028,2.5,3,2.75,
2551,2,828,PI 576354,2.5,3.5,3,
2552,2,828,SC1114,4,4,4,
2553,2,828,PI 656001,1.5,2,1.75,
2554,2,828,PI 534032,3,3.5,3.25,
2555,2,828,PI 534002,1.5,4.5,3,
2556,2,828,PI 656097,3,4,3.5,
2557,2,828,Check,2.5,2,2.25,
2558,2,828,PI 566819,4,3,3.5,
2559,2,828,PI 533881,2.5,2.5,2.5,
2560,2,828,PI 656070,2.5,3,2.75,
2561,2,828,PI 655982,3,3,3,
2562,2,828,PI 533816,4.5,4.5,4.5,
2563,2,828,PI 533924,3,2,2.5,
2564,2,828,PI 533992,4,4,4,
2565,2,828,PI 656080,3.5,3,3.25,
2566,2,828,PI 656049,3.5,4,3.75,
2567,2,828,Check,3,3,3,
2568,2,828,PI 576423,2.5,3,2.75,
2569,2,828,PI 595727,3,4,3.5,
2570,2,828,PI 534044,2.5,1.5,2,
2571,2,828,PI 533809,3.5,4,3.75,
2572,2,828,PI 655970,3,3,3,
2573,2,828,PI 534085,4,4,4,
2574,2,828,PI 533779,5,5,5,
2575,2,828,PI 534049,2,2.5,2.25,
2576,2,828,PI 656082,2.5,2,2.25,
2577,2,828,PI 564163,2.5,2,2.25,
2578,2,828,PI 576372,2,2,2,
2579,2,828,SC0914,2,2.5,2.25,
2580,2,828,SC1082,3.5,2.5,3,
2581,2,828,PI 656029,3.5,4,3.75,
2582,2,828,PI 656107,3.5,3,3.25,
2583,2,828,PI 533799,3,2.5,2.75,
2584,2,828,PI 656043,3.5,2,2.75,lodged
2585,2,828,PI 656091,1.5,1.5,1.5,
2586,2,828,PI 534025,4,4,4,
2587,2,828,PI 329435,1.5,2,1.75,
2588,2,828,PI 534087,4.5,5,4.75,
2589,2,828,PI 656074,4,5,4.5,
2590,2,828,PI 534159,2.5,2,2.25,
2591,2,828,PI 533761,3,2.5,2.75,
2592,2,828,Check,2,3,2.5,
2593,2,828,PI 576396,3,3,3,
2594,2,828,PI 533977,2.5,2,2.25,
2595,2,828,PI 533940,4,4.5,4.25,
2596,2,828,PI 533773,4.5,5,4.75,
2597,2,828,PI 533983,3,2,2.5,
2598,2,828,SC0438,4,4,4,
2599,2,828,PI 534068,4,5,4.5,
2600,2,828,PI 533786,,,,nothing
2601,2,828,PI 656018,2.5,3,2.75,
2602,2,828,SC0823,4,3,3.5,
2603,2,828,PI 656036,2.5,2.5,2.5,
2604,2,828,PI 534096,4,3,3.5,
2605,2,828,PI 656013,5,5,5,
2606,2,828,PI 534133,3,4.5,3.75,
2607,2,828,PI 34911,4.5,4,4.25,
2608,2,828,SC1166,4.5,4,4.25,
2609,2,828,PI 656121,4.5,5,4.75,
2610,2,828,PI 534007,5,4.5,4.75,
2611,2,828,PI 576328,2.5,2.5,2.5,
2612,2,828,PI 533942,4,5,4.5,
2613,2,828,PI 533792,3.5,3,3.25,
2614,2,828,PI 533949,2.5,3,2.75,
2615,2,828,PI 534051,3.5,3.5,3.5,
2616,2,828,SC0685,3,3,3,
2617,2,828,PI 576379,4,3,3.5,
2618,2,828,PI 656100,3.5,3.5,3.5,
2619,2,828,PI 533914,3.5,4.5,4,
2620,2,828,SC0877,5,5,5,
2621,2,828,SC0247,4,4.5,4.25,
2622,2,828,SC0276,5,5,5,
2623,2,828,PI 533819,3.5,5,4.25,
2624,2,828,PI 576407,4,5,4.5,
2625,2,828,PI 533774,3,3,3,
2626,2,828,PI 576409,4,4,4,
2627,2,828,PI 534058,5,5,5,
2628,2,828,PI 653616,4.5,4,4.25,
2629,2,828,PI 533796,4.5,5,4.75,
2630,2,828,PI 533850,5,5,5,
2631,2,828,PI 533749,4.5,4.5,4.5,
2632,2,828,PI 533764,5,5,5,
2633,2,828,PI 656085,3,3,3,
2634,2,828,PI 597982,3,3,3,
2635,2,828,PI 576359,3.5,2.5,3,
2636,2,828,PI 533990,2.5,2,2.25,
2637,2,828,Check,4,3.5,3.75,
2638,2,828,PI 533746,5,5,5,
2639,2,828,PI 533800,2.5,3,2.75,
2640,2,828,PI 533943,4,4.5,4.25,
2641,2,828,Check,3,3,3,
2642,2,828,PI 534075,4.5,4,4.25,
2643,2,828,SC1058,5,5,5,
2644,2,828,PI 534106,3.5,4.5,4,
2645,2,828,PI 656052,3.5,3,3.25,
2646,2,828,PI 595723,2.5,3,2.75,lodged
2647,2,828,PI 641824,5,4,4.5,
2648,2,828,PI 534131,2,2.5,2.25,
2649,2,828,PI 656077,3,3.5,3.25,lodged
2650,2,828,PI 534045,2.5,2,2.25,
2651,2,828,PI 656063,3,2.5,2.75,
2652,2,828,PI 329440,4,4,4,
2653,2,828,PI 533768,2.5,2,2.25,
2654,2,828,PI 597975,2.5,2,2.25,
2655,2,828,PI 655988,3.5,3.5,3.5,
2656,2,828,PI 533991,3.5,3,3.25,
2657,2,828,PI 533952,4,3,3.5,
2658,2,828,PI 656032,3.5,3,3.25,
2659,2,828,PI 656053,2.5,2,2.25,
2660,2,828,SC1193,5,5,5,
2661,2,828,PI 595700,3.5,4,3.75,
2662,2,828,PI 576356,2.5,2.5,2.5,
2663,2,828,PI 656061,3.5,3,3.25,
2664,2,828,PI 656057,2.5,3,2.75,
2665,2,828,PI 533849,5,5,5,
2666,2,828,PI 595717,1.5,3.5,2.5,
2667,2,828,PI 533822,3,2,2.5,
2668,2,828,PI 533829,4.5,4.5,4.5,
2669,2,828,PI 656025,5,5,5,
2670,2,828,PI 534023,5,5,5,
2671,2,828,PI 533862,5,5,5,
2672,2,828,Check,3.5,3,3.25,
2673,2,828,PI 561472,2.5,2,2.25,
2674,2,828,PI 534047,2.5,2,2.25,
2675,2,828,PI 576365,3.5,4,3.75,
2676,2,828,Check,2.5,2,2.25,
2677,2,828,PI 597969,3,3.5,3.25,
2678,2,828,PI 595708,5,5,5,
2679,2,828,PI 533865,4,4,4,
2680,2,828,PI 534092,4,4.5,4.25,
2681,2,828,PI 656007,4,4.5,4.25,
2682,2,828,PI 533995,3.5,3,3.25,
2683,2,828,PI 595746,2,2,2,
2684,2,828,PI 595729,3,3,3,
2685,2,828,PI 534035,4.5,4,4.25,
2686,2,828,PI 656088,4.5,4.5,4.5,
2687,2,828,PI 576358,5,5,5,
2688,2,828,SC0041,3,2.5,2.75,
2689,2,828,Check,3,2,2.5,
2690,2,828,PI 597980,3,2,2.5,
2691,2,828,PI 576435,1.5,2,1.75,
2692,2,828,PI 576389,3,4,3.5,
2693,2,828,SC0249,4.5,4,4.25,
2694,2,828,PI 534056,2,1.5,1.75,
2695,2,828,PI 534132,1.5,1.5,1.5,
2696,2,828,PI 656113,4.5,5,4.75,
2697,2,828,SC0448,4,3,3.5,
2698,2,828,PI 595703,3.5,4,3.75,
2699,2,828,PI 597974,2,2,2,
2700,2,828,PI 597964,,,,nothing
2701,2,828,SC1216,3.5,3,3.25,
2702,2,828,Check,3.5,3.5,3.5,
2703,2,828,PI 533873,2.5,2,2.25,
2704,2,828,PI 655977,2,2.5,2.25,
2705,2,828,PI 659696,3,2,2.5,
2706,2,828,PI 533807,3.5,3,3.25,
2707,2,828,PI 534080,3.5,3.5,3.5,
2708,2,828,PI 642793,2,2.5,2.25,
2709,2,828,PI 533811,4,4,4,
2710,2,828,PI 533781,2.5,2.5,2.5,
2711,2,828,PI 533968,3,2,2.5,
2712,2,828,PI 533830,3.5,3.5,3.5,
2713,2,828,PI 534098,4,4,4,
2714,2,828,PI 656047,5,5,5,
2715,2,828,PI 533782,4.5,3,3.75,lodged
2716,2,828,PI 597972,2.5,2,2.25,
2717,2,828,SC0409,4,4.5,4.25,
2718,2,828,PI 534067,3.5,4,3.75,
2719,2,828,SC0848,5,5,5,
2720,2,828,Check,4.5,5,4.75,
2721,2,828,PI 576375,4,4.5,4.25,
2722,2,828,SC0551,5,5,5,
2723,2,828,PI 534082,5,5,5,
2724,2,828,PI 656024,3.5,2,2.75,
2725,2,828,PI 533762,2.5,3.5,3,
2726,2,828,PI 561071,1.5,2,1.75,
2727,2,828,SC0999,2.5,3,2.75,
2728,2,828,PI 655981,3.5,4.5,4,
2729,2,828,PI 534090,5,5,5,
2730,2,828,PI 533857,1.5,2,1.75,
2731,2,828,PI 576399,4,5,4.5,
2732,2,828,Check,3.5,2.5,3,
2733,2,828,PI 534100,3.5,4,3.75,
2734,2,828,PI 534120,3,3,3,
2735,2,828,PI 576429,5,5,5,
2736,2,828,PI 595722,2.5,3,2.75,
2737,2,828,PI 576361,4,4.5,4.25,
2738,2,828,PI 533747,3,2,2.5,
2739,2,828,PI 533759,3.5,3,3.25,
2740,2,828,SC0864,4.5,5,4.75,lodged
2741,2,828,PI 598070,5,5,5,
2742,2,828,PI 576405,3,3,3,
2743,2,828,SC0540,4,4,4,
2744,2,828,PI 533984,2,2,2,
2745,2,828,PI 597955,2,1.5,1.75,
2746,2,828,Check,2,2,2,
2747,2,828,PI 534122,3,4,3.5,
2748,2,828,PI 595731,4.5,4,4.25,
2749,2,828,PI 576415,3,2.5,2.75,
2750,2,828,PI 656010,2.5,2,2.25,
2751,2,828,PI 533996,2.5,3,2.75,
2752,2,828,PI 534113,3,3.5,3.25,
2753,2,828,Check,2.5,3,2.75,
2754,2,828,PI 595718,4,4.5,4.25,
2755,2,828,PI 533929,3.5,3,3.25,
2756,2,828,PI 656055,4,3,3.5,
2757,2,828,PI 534121,3,4,3.5,
2758,2,828,PI 534137,3.5,3.5,3.5,
2759,2,828,PI 533851,3.5,4,3.75,
2760,2,828,PI 576369,4,4.5,4.25,
2761,2,828,SC0463,3,4,3.5,
2762,2,828,PI 533852,5,4.5,4.75,
2763,2,828,PI 534072,5,4.5,4.75,
2764,2,828,PI 655986,3.5,4,3.75,
2765,2,828,PI 533930,3.5,3,3.25,
2766,2,828,PI 533788,5,5,5,
2767,2,828,PI 597956,5,5,5,
2768,2,828,PI 595734,3.5,2.5,3,
2769,2,828,PI 576427,2.5,2,2.25,
2770,2,828,PI 533837,1.5,2.5,2,
2771,2,828,PI 533745,5,5,5,
2772,2,828,PI 533963,3,3,3,
2773,2,828,PI 533912,4,3,3.5,
2774,2,828,PI 533918,2.5,3,2.75,
2775,2,828,PI 656086,3.5,3,3.25,
2776,2,828,Check,3,3.5,3.25,
2777,2,828,PI 576330,0.5,5,2.75,
2778,2,828,PI 656006,1.5,1.5,1.5,
2779,2,828,PI 534001,2,1.5,1.75,
2780,2,828,PI 564165,1.5,1.5,1.5,
2781,2,828,PI 576368,3,4,3.5,
2782,2,828,PI 533946,4.5,5,4.75,
2783,2,828,PI 533869,4,4,4,
2784,2,828,SC0847,5,5,5,
2785,2,828,PI 534054,4.5,4.5,4.5,
2786,2,828,PI 533989,,,,nothing
2787,2,828,PI 534118,3,3,3,
2788,2,828,PI 656040,2.5,2,2.25,
2789,2,828,PI 534147,5,4.5,4.75,
2790,2,828,PI 597979,4,3.5,3.75,
2791,2,828,PI 533771,2.5,2.5,2.5,
2792,2,828,PI 533858,3,4,3.5,
2793,2,828,PI 656027,2.5,2,2.25,
2794,2,828,PI 534136,3,3,3,
2795,2,828,Check,,,,nothing
2796,2,828,SC0150,3,2,2.5,
2797,2,828,PI 576337,4.5,4.5,4.5,
2798,2,828,SC1119,4,5,4.5,
2799,2,828,PI 534039,,,,nothing
2800,2,828,Check,3,3,3,
2801,2,828,PI 533986,2.5,2,2.25,
2802,2,828,PI 656012,2,2,2,
2803,2,828,PI 656016,2,1.5,1.75,
2804,2,828,SC0895,4,5,4.5,
2805,2,828,SC0631,3.5,3,3.25,
2806,2,828,Check,4,3.5,3.75,
2807,2,828,PI 597957,2,2,2,
2808,2,828,PI 655994,2,2,2,
2809,2,828,PI 598069,3,2,2.5,
2810,2,828,PI 655972,4,3.5,3.75,
2811,2,828,PI 656044,1,1.5,1.25,
2812,2,828,PI 533978,3.5,4,3.75,
2813,2,828,PI 533752,2,2,2,
2814,2,828,PI 597950,5,5,5,
2815,2,828,Check,1.5,2,1.75,
2816,2,828,PI 533820,2.5,3,2.75,
2817,2,828,PI 534115,3,2,2.5,
2818,2,828,PI 656054,3,3.5,3.25,
2819,2,828,PI 655983,3.5,4,3.75,
2820,2,828,PI 533878,,,,nothing
2821,2,828,PI 655971,3.5,5,4.25,
2822,2,828,PI 655975,2.5,3.5,3,
2823,2,828,PI 656056,2,2.5,2.25,
2824,2,828,PI 576331,5,5,5,
2825,2,828,PI 533928,3,2.5,2.75,
2826,2,828,PI 597971,3,3,3,
2827,2,828,PI 534036,2,2,2,
2828,2,828,PI 533965,2,2,2,
2829,2,828,PI 533921,4.5,4.5,4.5,
2830,2,828,PI 533853,2.5,2,2.25,
2831,2,828,PI 595719,2,2.5,2.25,
2832,2,828,PI 533790,4,5,4.5,
2833,2,828,PI 533907,3,3,3,
2834,2,828,PI 533805,5,5,5,
2835,2,828,PI 534066,5,5,5,
2836,2,828,SC0871,5,5,5,
2837,2,828,PI 533985,2.5,2,2.25,
2838,2,828,PI 576341,2.5,2,2.25,
2839,2,828,Check,3,3,3,
2840,2,828,PI 534154,4,3.5,3.75,
2841,2,828,SC0314,4.5,4,4.25,
2842,2,828,PI 595699,5,5,5,
2843,2,828,PI 576367,3,4.5,3.75,
2844,2,828,PI 534006,3,2.5,2.75,
2845,2,828,PI 656117,2,3,2.5,
2846,2,828,PI 533988,3,3,3,
2847,2,828,PI 533756,4,4.5,4.25,
2848,2,828,SC0458,4.5,4,4.25,
2849,2,828,PI 533936,3.5,3,3.25,
2850,2,828,PI 576344,4,3,3.5,
2851,2,828,PI 656119,3,4,3.5,
2852,2,828,PI 655999,2,1.5,1.75,
2853,2,828,PI 656002,2,2.5,2.25,
2854,2,828,PI 576339,3,3,3,
2855,2,828,PI 533923,3,2.5,2.75,
2856,2,828,PI 533765,4,5,4.5,
2857,2,828,PI 576403,3.5,5,4.25,
2858,2,828,PI 534112,2.5,3,2.75,
2859,2,828,SC0921,3.5,4,3.75,
2860,2,828,Check,3,3,3,
2861,2,828,SC0092,3.5,4,3.75,
2862,2,828,PI 595728,4,4,4,
2863,2,828,PI 534083,3,3,3,
2864,2,828,PI 534125,3,3.5,3.25,
2865,2,828,PI 597965,3.5,3,3.25,
2866,2,828,SC0556,4,3,3.5,
2867,2,828,PI 540816,,,,nothing
2868,2,828,PI 533964,2,2,2,
2869,2,828,Check,3,3,3,
2870,2,828,SC0266,4.5,4.5,4.5,
2871,2,828,PI 534091,5,5,5,
2872,2,828,PI 656059,3.5,3.5,3.5,
2873,2,828,Check,3,3,3,
2874,2,828,SC0547,4,4.5,4.25,
2875,2,828,PI 655974,3.5,3,3.25,
2876,2,828,PI 534094,3,3.5,3.25,
2877,2,828,PI 534024,3,3,3,
2878,2,828,PI 533818,4,3.5,3.75,
2879,2,828,PI 533962,3,3,3,
2880,2,828,PI 595721,2.5,1.5,2,
2881,2,828,PI 534126,3.5,4,3.75,
2882,2,828,PI 533993,2,2,2,
2883,2,828,PI 533755,2.5,2,2.25,
