cluster025,n_embeddings,median_max_abs_severity_r,mean_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,fraction_embeddings_r_ge_0_5,n_embeddings_r_ge_0_4,n_embeddings_r_ge_0_5,n_loci,has_validated_locus,has_validated_or_proposed_locus,has_any_reported_candidate_locus,reported_candidate_genes,example_embeddings,cluster_type,severity_related,severity_class
112,1,0.4698674158106938,0.4698674158106938,0.4698674158106938,1.0,0.0,1,0,1,False,False,False,,embedding_mean_3,singleton,True,severity_correlated
113,1,0.1970592588347864,0.1970592588347864,0.1970592588347864,0.0,0.0,0,0,1,False,False,False,,embedding_mean_17,singleton,False,not_severity_correlated
114,1,0.3679713303675667,0.3679713303675667,0.3679713303675667,0.0,0.0,0,0,1,False,False,False,,embedding_mean_55,singleton,False,not_severity_correlated
115,1,0.1516781867697372,0.1516781867697372,0.1516781867697372,0.0,0.0,0,0,1,False,False,False,,embedding_mean_63,singleton,False,not_severity_correlated
116,1,0.0339183131272656,0.0339183131272656,0.0339183131272656,0.0,0.0,0,0,2,False,False,False,,embedding_mean_70,singleton,False,not_severity_correlated
117,1,0.1781909618657911,0.1781909618657911,0.1781909618657911,0.0,0.0,0,0,1,False,False,False,,embedding_mean_90,singleton,False,not_severity_correlated
118,1,0.261121387910054,0.261121387910054,0.261121387910054,0.0,0.0,0,0,1,False,False,False,,embedding_mean_104,singleton,False,not_severity_correlated
119,1,0.6087249087814846,0.6087249087814846,0.6087249087814846,1.0,1.0,1,1,1,False,False,False,,embedding_mean_108,singleton,True,severity_correlated
120,1,0.5433452990698351,0.5433452990698351,0.5433452990698351,1.0,1.0,1,1,1,False,False,False,,embedding_mean_161,singleton,True,severity_correlated
121,1,0.4481090719991962,0.4481090719991962,0.4481090719991962,1.0,0.0,1,0,1,False,False,False,,embedding_mean_191,singleton,True,severity_correlated
122,1,0.608612724086292,0.608612724086292,0.608612724086292,1.0,1.0,1,1,1,False,False,False,,embedding_mean_237,singleton,True,severity_correlated
123,1,0.1008151001711532,0.1008151001711532,0.1008151001711532,0.0,0.0,0,0,1,False,False,False,,embedding_mean_247,singleton,False,not_severity_correlated
124,1,0.0358405932146039,0.0358405932146039,0.0358405932146039,0.0,0.0,0,0,2,False,False,False,,embedding_mean_266,singleton,False,not_severity_correlated
