cluster025,n_embeddings,cluster_type,severity_related,severity_class,median_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,example_embeddings,has_validated,has_validated_or_proposed,candidate_genes
83,2,multi_trait,False,not_severity_correlated,0.2896325384511636,0.2915027530005214,0.0,embedding_std_18;embedding_std_962,False,False,
84,2,multi_trait,False,not_severity_correlated,0.143445043129849,0.1785106825422432,0.0,embedding_std_267;embedding_std_938,False,False,
85,1,singleton,False,not_severity_correlated,0.2499148135921554,0.2499148135921554,0.0,embedding_std_108,False,False,
86,2,multi_trait,True,severity_correlated,0.3547411736667226,0.5036256691069243,0.5,embedding_std_172;embedding_std_935,False,False,
87,2,multi_trait,False,not_severity_correlated,0.073902602253484,0.1187654848643418,0.0,embedding_std_628;embedding_std_929,False,False,
88,2,multi_trait,False,not_severity_correlated,0.3552325601441188,0.3974948956098898,0.0,embedding_std_287;embedding_std_922,False,False,
89,2,multi_trait,False,not_severity_correlated,0.1457028282492181,0.1855702236175577,0.0,embedding_std_618;embedding_std_904,False,True,Sobic.005G192300;Sobic.005G192600;Sobic.005G193600;Sobic.005G194700;Sobic.005G195000
90,2,multi_trait,False,not_severity_correlated,0.1126907195592873,0.1831125188695617,0.0,embedding_mean_276;embedding_std_885,True,True,Sobic.007G059600
91,2,multi_trait,False,not_severity_correlated,0.2297851371078497,0.2358001467691235,0.0,embedding_mean_826;embedding_std_840,False,False,
92,3,multi_trait,False,not_severity_correlated,0.3840032831972624,0.4255261691387434,0.3333333333333333,embedding_std_335;embedding_std_344;embedding_std_837,False,False,
93,2,multi_trait,False,not_severity_correlated,0.1920776822880967,0.1943712197201566,0.0,embedding_std_388;embedding_std_810,False,False,
94,1,singleton,False,not_severity_correlated,0.2857186025695172,0.2857186025695172,0.0,embedding_mean_207,False,False,
95,1,singleton,False,not_severity_correlated,0.2696389431925134,0.2696389431925134,0.0,embedding_std_776,False,False,
96,2,multi_trait,False,not_severity_correlated,0.037731669248551,0.0544355611705607,0.0,embedding_std_286;embedding_std_751,False,True,Sobic.005G062900
97,2,multi_trait,False,not_severity_correlated,0.1998891679816382,0.3281232499104882,0.0,embedding_mean_1019;embedding_std_721,False,True,Sobic.001G528200
98,3,multi_trait,False,not_severity_correlated,0.1395632639134475,0.3088571654315737,0.0,embedding_mean_136;embedding_std_359;embedding_std_413,False,False,
99,2,multi_trait,False,not_severity_correlated,0.2002084566500464,0.2736282368653831,0.0,embedding_std_140;embedding_std_362,False,False,
100,3,multi_trait,False,not_severity_correlated,0.1408989357954252,0.4198588979011041,0.3333333333333333,embedding_mean_0;embedding_std_70;embedding_std_292,False,False,
101,3,multi_trait,False,not_severity_correlated,0.3373418521427768,0.4811793153584499,0.3333333333333333,embedding_mean_142;embedding_mean_754;embedding_std_266,False,True,Sobic.005G160400
102,2,multi_trait,False,not_severity_correlated,0.1271336738217039,0.1304735849475032,0.0,embedding_mean_98;embedding_std_177,False,False,
103,2,multi_trait,False,not_severity_correlated,0.1264761987778116,0.1857758507333751,0.0,embedding_mean_700;embedding_std_167,False,True,Sobic.007G189200
104,2,multi_trait,True,severity_correlated,0.2815679903883962,0.4970697906001693,0.5,embedding_mean_908;embedding_std_156,False,False,
105,3,multi_trait,False,not_severity_correlated,0.2096796044484512,0.2407082243706253,0.0,embedding_mean_199;embedding_mean_419;embedding_mean_806,False,False,
106,1,singleton,False,not_severity_correlated,0.2843169257526478,0.2843169257526478,0.0,embedding_mean_424,False,False,
107,2,multi_trait,False,not_severity_correlated,0.1997169080713822,0.2116044290934646,0.0,embedding_mean_412;embedding_mean_778,False,False,
108,2,multi_trait,False,not_severity_correlated,0.0763009676293364,0.0861660587859548,0.0,embedding_mean_143;embedding_mean_604,False,False,
109,2,multi_trait,True,severity_correlated,0.3673746590910333,0.4752918150818439,0.5,embedding_mean_87;embedding_mean_594,False,True,Sobic.005G218201;Sobic.005G218400;Sobic.005G218700
110,2,multi_trait,True,severity_correlated,0.4067595827314239,0.595145277287318,0.5,embedding_mean_476;embedding_mean_548,True,True,Sobic.002G202700
111,2,multi_trait,True,severity_correlated,0.2689349476714361,0.440239911236581,0.5,embedding_mean_152;embedding_mean_421,False,False,
112,1,singleton,True,severity_correlated,0.4698674158106938,0.4698674158106938,1.0,embedding_mean_3,False,False,
113,1,singleton,False,not_severity_correlated,0.1970592588347864,0.1970592588347864,0.0,embedding_mean_17,False,False,
114,1,singleton,False,not_severity_correlated,0.3679713303675667,0.3679713303675667,0.0,embedding_mean_55,False,False,
115,1,singleton,False,not_severity_correlated,0.1516781867697372,0.1516781867697372,0.0,embedding_mean_63,False,False,
116,1,singleton,False,not_severity_correlated,0.0339183131272656,0.0339183131272656,0.0,embedding_mean_70,False,False,
117,1,singleton,False,not_severity_correlated,0.1781909618657911,0.1781909618657911,0.0,embedding_mean_90,False,False,
118,1,singleton,False,not_severity_correlated,0.261121387910054,0.261121387910054,0.0,embedding_mean_104,False,True,Sobic.001G272700;Sobic.001G272800
119,1,singleton,True,severity_correlated,0.6087249087814846,0.6087249087814846,1.0,embedding_mean_108,False,False,
120,1,singleton,True,severity_correlated,0.5433452990698351,0.5433452990698351,1.0,embedding_mean_161,False,False,
121,1,singleton,True,severity_correlated,0.4481090719991962,0.4481090719991962,1.0,embedding_mean_191,False,False,
122,1,singleton,True,severity_correlated,0.608612724086292,0.608612724086292,1.0,embedding_mean_237,False,False,
123,1,singleton,False,not_severity_correlated,0.1008151001711532,0.1008151001711532,0.0,embedding_mean_247,False,False,
124,1,singleton,False,not_severity_correlated,0.0358405932146039,0.0358405932146039,0.0,embedding_mean_266,False,False,
125,1,singleton,False,not_severity_correlated,0.1833695312923334,0.1833695312923334,0.0,embedding_mean_320,False,False,
126,1,singleton,False,not_severity_correlated,0.3771276368080883,0.3771276368080883,0.0,embedding_mean_323,False,False,
127,1,singleton,False,not_severity_correlated,0.3684996138707444,0.3684996138707444,0.0,embedding_mean_327,False,False,
128,1,singleton,False,not_severity_correlated,0.1368155654912491,0.1368155654912491,0.0,embedding_mean_329,False,False,
129,1,singleton,False,not_severity_correlated,0.2765613930643032,0.2765613930643032,0.0,embedding_mean_349,False,False,
130,1,singleton,False,not_severity_correlated,0.2007491069810262,0.2007491069810262,0.0,embedding_mean_410,False,False,
131,1,singleton,False,not_severity_correlated,0.2953442709242135,0.2953442709242135,0.0,embedding_mean_414,False,False,
132,1,singleton,True,severity_correlated,0.6121886163159705,0.6121886163159705,1.0,embedding_mean_433,False,False,
133,1,singleton,False,not_severity_correlated,0.0288821843203259,0.0288821843203259,0.0,embedding_mean_451,False,False,
134,1,singleton,False,not_severity_correlated,0.0322476069146714,0.0322476069146714,0.0,embedding_mean_481,False,False,
135,1,singleton,False,not_severity_correlated,0.1852046170946898,0.1852046170946898,0.0,embedding_mean_485,False,False,
136,1,singleton,True,severity_correlated,0.4810032654169955,0.4810032654169955,1.0,embedding_mean_486,False,True,Sobic.005G209000;Sobic.005G209100
137,1,singleton,False,not_severity_correlated,0.0290308693151061,0.0290308693151061,0.0,embedding_mean_487,False,False,
138,1,singleton,False,not_severity_correlated,0.0659133963088301,0.0659133963088301,0.0,embedding_mean_523,False,False,
139,1,singleton,False,not_severity_correlated,0.1846347102196379,0.1846347102196379,0.0,embedding_mean_553,False,False,
140,1,singleton,False,not_severity_correlated,0.0452423400078049,0.0452423400078049,0.0,embedding_mean_564,False,False,
141,1,singleton,False,not_severity_correlated,0.0696920545666249,0.0696920545666249,0.0,embedding_mean_591,False,False,
142,1,singleton,False,not_severity_correlated,0.3219255028452145,0.3219255028452145,0.0,embedding_mean_627,False,False,
143,1,singleton,False,not_severity_correlated,0.2663758803365982,0.2663758803365982,0.0,embedding_mean_650,False,False,
144,1,singleton,False,not_severity_correlated,0.0665436082379904,0.0665436082379904,0.0,embedding_mean_678,False,False,
145,1,singleton,False,not_severity_correlated,0.2487373002077722,0.2487373002077722,0.0,embedding_mean_685,False,False,
146,1,singleton,False,not_severity_correlated,0.1970684037718178,0.1970684037718178,0.0,embedding_mean_686,False,False,
147,1,singleton,False,not_severity_correlated,0.1081630557288324,0.1081630557288324,0.0,embedding_mean_688,False,False,
148,1,singleton,False,not_severity_correlated,0.1893916606762491,0.1893916606762491,0.0,embedding_mean_697,True,True,Sobic.004G065900
149,1,singleton,False,not_severity_correlated,0.3523658132386458,0.3523658132386458,0.0,embedding_mean_704,False,False,
150,1,singleton,False,not_severity_correlated,0.3241143280624193,0.3241143280624193,0.0,embedding_mean_731,False,False,
151,1,singleton,False,not_severity_correlated,0.2891181596491302,0.2891181596491302,0.0,embedding_mean_736,False,True,Sobic.003G118600
152,1,singleton,False,not_severity_correlated,0.0835485038581488,0.0835485038581488,0.0,embedding_mean_791,False,False,
153,1,singleton,False,not_severity_correlated,0.0616441378967188,0.0616441378967188,0.0,embedding_mean_796,False,False,
154,1,singleton,True,severity_correlated,0.5096663446039297,0.5096663446039297,1.0,embedding_mean_819,False,False,
155,1,singleton,False,not_severity_correlated,0.3057560537921354,0.3057560537921354,0.0,embedding_mean_831,False,False,
156,1,singleton,True,severity_correlated,0.4691749530259547,0.4691749530259547,1.0,embedding_mean_844,False,False,
157,1,singleton,False,not_severity_correlated,0.2203521114810563,0.2203521114810563,0.0,embedding_mean_868,False,False,
158,1,singleton,False,not_severity_correlated,0.246621516056426,0.246621516056426,0.0,embedding_mean_885,False,False,
159,1,singleton,False,not_severity_correlated,0.1845858339796505,0.1845858339796505,0.0,embedding_mean_895,False,False,
160,1,singleton,False,not_severity_correlated,0.2556007228628082,0.2556007228628082,0.0,embedding_mean_910,False,False,
161,1,singleton,False,not_severity_correlated,0.3522724769784417,0.3522724769784417,0.0,embedding_mean_911,False,False,
162,1,singleton,False,not_severity_correlated,0.2248027083335164,0.2248027083335164,0.0,embedding_mean_912,False,False,
163,1,singleton,False,not_severity_correlated,0.0830255138716842,0.0830255138716842,0.0,embedding_mean_970,False,False,
164,1,singleton,True,severity_correlated,0.626082397407353,0.626082397407353,1.0,embedding_mean_984,False,False,
165,1,singleton,False,not_severity_correlated,0.2543798662170607,0.2543798662170607,0.0,embedding_std_7,False,False,
166,1,singleton,True,severity_correlated,0.5376145297636596,0.5376145297636596,1.0,embedding_std_27,True,True,Sobic.008G177900;Sobic.008G178300;Sobic.008G178500
167,1,singleton,True,severity_correlated,0.4375743923323376,0.4375743923323376,1.0,embedding_std_65,False,False,
168,1,singleton,False,not_severity_correlated,0.1620842400649716,0.1620842400649716,0.0,embedding_std_74,False,False,
169,1,singleton,False,not_severity_correlated,0.3864260575151745,0.3864260575151745,0.0,embedding_std_83,False,False,
170,1,singleton,False,not_severity_correlated,0.365513965655961,0.365513965655961,0.0,embedding_std_87,False,False,
171,1,singleton,False,not_severity_correlated,0.351870744355661,0.351870744355661,0.0,embedding_std_102,False,False,
172,1,singleton,False,not_severity_correlated,0.1598100864682095,0.1598100864682095,0.0,embedding_std_103,False,False,
173,1,singleton,False,not_severity_correlated,0.2874239119769297,0.2874239119769297,0.0,embedding_std_105,False,False,
174,1,singleton,True,severity_correlated,0.4086527229261802,0.4086527229261802,1.0,embedding_std_111,False,False,
175,1,singleton,True,severity_correlated,0.4019921016086596,0.4019921016086596,1.0,embedding_std_124,False,False,
176,1,singleton,False,not_severity_correlated,0.2477227027438872,0.2477227027438872,0.0,embedding_std_200,False,False,
177,1,singleton,False,not_severity_correlated,0.1095227255810513,0.1095227255810513,0.0,embedding_std_219,False,False,
178,1,singleton,False,not_severity_correlated,0.365630270911098,0.365630270911098,0.0,embedding_std_251,False,True,Sobic.009G019800
