trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50,cluster025,human_score,percentUnhealthy,max_abs_severity_r,severity_r_ge_0_4,severity_r_ge_0_5,n_loci,has_validated_locus,has_proposed_locus,has_new_annotation_locus,candidate_loci,reported_candidate_genes,has_validated_or_proposed_locus,has_any_reported_candidate_locus
embedding_mean_376,1,69,106,69,0.3837033428842348,0.4066563944498795,0.4066563944498795,True,False,1,False,False,True,1:65358296-65371952,Sobic.001G323801,False,True
embedding_mean_377,1,72,111,72,0.0759620540589192,0.0579166300188099,0.0759620540589192,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_381,1,72,111,72,0.0697666379797563,0.1340435828819703,0.1340435828819703,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_391,2,4,6,4,0.3142473580775868,0.3048702990377224,0.3142473580775868,False,False,2,False,False,False,9:6400208-6419583;9:6658344-6882765,,False,False
embedding_mean_399,1,27,39,27,0.1561970997421235,0.1881694566249037,0.1881694566249037,False,False,1,False,False,False,4:4223438-4371839,,False,False
embedding_mean_404,1,72,111,72,0.3481341182462399,0.3962283930039314,0.3962283930039314,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_406,3,2,3,2,0.0484539865755863,0.1142147182885729,0.1142147182885729,False,False,3,False,False,False,10:11736237-11837294;2:7131247-7131247;2:8854422-8926705,,False,False
embedding_mean_408,2,62,93,62,0.1943328098550709,0.3027723728996552,0.3027723728996552,False,False,2,True,True,True,1:15780080-15922053;9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_410,1,130,183,130,0.1704685409079739,0.2007491069810262,0.2007491069810262,False,False,1,False,False,False,7:6845950-6847720,,False,False
embedding_mean_412,2,107,160,107,0.2116044290934646,0.1343405809441916,0.2116044290934646,False,False,2,False,False,False,6:57600057-57603756;6:59642140-59642140,,False,False
embedding_mean_413,1,72,111,72,0.040042727693253,0.1643139193326193,0.1643139193326193,False,False,1,True,True,True,9:59312854-62791172,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100",True,True
embedding_mean_414,1,131,184,131,0.263847223259202,0.2953442709242135,0.2953442709242135,False,False,1,False,False,False,8:50398233-50398289,,False,False
embedding_mean_419,1,105,158,105,0.0038115049927258,0.1374804205797056,0.1374804205797056,False,False,1,False,False,False,1:82441311-82491389,,False,False
embedding_mean_421,1,111,164,111,0.3737204344986843,0.440239911236581,0.440239911236581,True,False,1,False,False,False,5:62679628-62748988,,False,False
embedding_mean_424,2,106,159,106,0.1772084542900828,0.2843169257526478,0.2843169257526478,False,False,2,False,False,False,1:80473742-80648959;4:63589262-63589262,,False,False
embedding_mean_430,1,1,1,1,0.4320591634465863,0.5374738932612044,0.5374738932612044,True,True,1,False,False,False,2:8854422-8926705,,False,False
embedding_mean_432,1,33,46,33,0.1746639205073472,0.0913905784461655,0.1746639205073472,False,False,1,False,False,False,4:65405896-65526687,,False,False
embedding_mean_433,1,132,185,132,0.5757758063386137,0.6121886163159705,0.6121886163159705,True,True,1,False,False,False,2:52658925-52705676,,False,False
embedding_mean_440,1,36,54,36,0.0876636006153325,0.0635227616824297,0.0876636006153325,False,False,1,False,False,False,3:64185955-64267169,,False,False
